,valid,zCombo,tf,DC-Gain,k,numer,denom,num-factor-count,denom-factor-count
0,False,"(1/(C_1*s), R_2, R_3, 1/(C_4*s), R_5, 1/(C_6*s))",\frac{R_{2}}{C_{1} C_{4} C_{6} R_{2} R_{3} R_{5} s^{3} + C_{6} R_{5} s + s^{2} \left(- C_{1} C_{6} R_{2} R_{3} + C_{1} C_{6} R_{2} R_{5} + C_{1} C_{6} R_{3} R_{5}\right)},,nan,[],"[Poly(zoo*s, s, domain='ZZ[zoo]'), Poly(C_1*C_4*R_2*R_3*s**2 + (-C_1*R_2*R_3 + C_1*R_2*R_5 + C_1*R_3*R_5)/R_5*s + 1, s, domain='ZZ(C_1,C_4,R_2,R_3,R_5)')]",0,2
1,True,"(1/(C_1*s), R_2, R_3, 1/(C_4*s), R_5, R_6/(C_6*R_6*s + 1))",\frac{R_{2} R_{6}}{C_{1} C_{4} C_{6} R_{2} R_{3} R_{5} R_{6} s^{3} + R_{5} + s^{2} \left(C_{1} C_{4} R_{2} R_{3} R_{5} - C_{1} C_{6} R_{2} R_{3} R_{6} + C_{1} C_{6} R_{2} R_{5} R_{6} + C_{1} C_{6} R_{3} R_{5} R_{6}\right) + s \left(- C_{1} R_{2} R_{3} + C_{1} R_{2} R_{5} + C_{1} R_{3} R_{5} + C_{6} R_{5} R_{6}\right)},R_2*R_6/R_5,R_2*R_6,[],"[Poly(C_6*R_6*s + 1, s, domain='ZZ[C_6,R_6]'), Poly(C_1*C_4*R_2*R_3*s**2 + (-C_1*R_2*R_3 + C_1*R_2*R_5 + C_1*R_3*R_5)/R_5*s + 1, s, domain='ZZ(C_1,C_4,R_2,R_3,R_5)')]",0,2
2,False,"(1/(C_1*s), R_2, R_3, 1/(C_4*s), R_5 + 1/(C_5*s), 1/(C_6*s))",\frac{C_{5} R_{2}}{C_{1} C_{4} C_{5} C_{6} R_{2} R_{3} R_{5} s^{3} + C_{6} + s^{2} \left(C_{1} C_{4} C_{6} R_{2} R_{3} - C_{1} C_{5} C_{6} R_{2} R_{3} + C_{1} C_{5} C_{6} R_{2} R_{5} + C_{1} C_{5} C_{6} R_{3} R_{5}\right) + s \left(C_{1} C_{6} R_{2} + C_{1} C_{6} R_{3} + C_{5} C_{6} R_{5}\right)},,C_5*R_2/C_6,[],"[Poly(C_1*C_4*C_5*R_2*R_3*R_5*s**3 + (C_1*C_4*R_2*R_3 - C_1*C_5*R_2*R_3 + C_1*C_5*R_2*R_5 + C_1*C_5*R_3*R_5)*s**2 + (C_1*R_2 + C_1*R_3 + C_5*R_5)*s + 1, s, domain='ZZ[C_1,C_4,C_5,R_2,R_3,R_5]')]",0,1
3,False,"(1/(C_1*s), R_2, R_3, R_4/(C_4*R_4*s + 1), R_5, 1/(C_6*s))",\frac{R_{2} R_{4}}{C_{1} C_{4} C_{6} R_{2} R_{3} R_{4} R_{5} s^{3} + C_{6} R_{4} R_{5} s + s^{2} \left(- C_{1} C_{6} R_{2} R_{3} R_{4} + C_{1} C_{6} R_{2} R_{3} R_{5} + C_{1} C_{6} R_{2} R_{4} R_{5} + C_{1} C_{6} R_{3} R_{4} R_{5}\right)},,nan,[],"[Poly(zoo*s, s, domain='ZZ[zoo]'), Poly(C_1*C_4*R_2*R_3*s**2 + (-C_1*R_2*R_3*R_4 + C_1*R_2*R_3*R_5 + C_1*R_2*R_4*R_5 + C_1*R_3*R_4*R_5)/(R_4*R_5)*s + 1, s, domain='ZZ(C_1,C_4,R_2,R_3,R_4,R_5)')]",0,2
4,True,"(1/(C_1*s), R_2, R_3, R_4/(C_4*R_4*s + 1), R_5, R_6/(C_6*R_6*s + 1))",\frac{R_{2} R_{4} R_{6}}{C_{1} C_{4} C_{6} R_{2} R_{3} R_{4} R_{5} R_{6} s^{3} + R_{4} R_{5} + s^{2} \left(C_{1} C_{4} R_{2} R_{3} R_{4} R_{5} - C_{1} C_{6} R_{2} R_{3} R_{4} R_{6} + C_{1} C_{6} R_{2} R_{3} R_{5} R_{6} + C_{1} C_{6} R_{2} R_{4} R_{5} R_{6} + C_{1} C_{6} R_{3} R_{4} R_{5} R_{6}\right) + s \left(- C_{1} R_{2} R_{3} R_{4} + C_{1} R_{2} R_{3} R_{5} + C_{1} R_{2} R_{4} R_{5} + C_{1} R_{3} R_{4} R_{5} + C_{6} R_{4} R_{5} R_{6}\right)},R_2*R_6/R_5,R_2*R_4*R_6,[],"[Poly(C_6*R_6*s + 1, s, domain='ZZ[C_6,R_6]'), Poly(C_1*C_4*R_2*R_3*s**2 + (-C_1*R_2*R_3*R_4 + C_1*R_2*R_3*R_5 + C_1*R_2*R_4*R_5 + C_1*R_3*R_4*R_5)/(R_4*R_5)*s + 1, s, domain='ZZ(C_1,C_4,R_2,R_3,R_4,R_5)')]",0,2
5,False,"(1/(C_1*s), R_2, R_3, R_4/(C_4*R_4*s + 1), R_5 + 1/(C_5*s), 1/(C_6*s))",\frac{C_{5} R_{2} R_{4}}{C_{1} C_{4} C_{5} C_{6} R_{2} R_{3} R_{4} R_{5} s^{3} + C_{6} R_{4} + s^{2} \left(C_{1} C_{4} C_{6} R_{2} R_{3} R_{4} - C_{1} C_{5} C_{6} R_{2} R_{3} R_{4} + C_{1} C_{5} C_{6} R_{2} R_{3} R_{5} + C_{1} C_{5} C_{6} R_{2} R_{4} R_{5} + C_{1} C_{5} C_{6} R_{3} R_{4} R_{5}\right) + s \left(C_{1} C_{6} R_{2} R_{3} + C_{1} C_{6} R_{2} R_{4} + C_{1} C_{6} R_{3} R_{4} + C_{5} C_{6} R_{4} R_{5}\right)},,C_5*R_2*R_4/C_6,[],"[Poly(C_1*C_4*C_5*R_2*R_3*R_5*s**3 + (C_1*C_4*R_2*R_3*R_4 - C_1*C_5*R_2*R_3*R_4 + C_1*C_5*R_2*R_3*R_5 + C_1*C_5*R_2*R_4*R_5 + C_1*C_5*R_3*R_4*R_5)/R_4*s**2 + (C_1*R_2*R_3 + C_1*R_2*R_4 + C_1*R_3*R_4 + C_5*R_4*R_5)/R_4*s + 1, s, domain='ZZ(C_1,C_4,C_5,R_2,R_3,R_4,R_5)')]",0,1
6,False,"(1/(C_1*s), R_2, R_3 + 1/(C_3*s), 1/(C_4*s), R_5, 1/(C_6*s))",\frac{C_{3} R_{2}}{C_{1} C_{3} C_{4} C_{6} R_{2} R_{3} R_{5} s^{3} + s^{2} \left(- C_{1} C_{3} C_{6} R_{2} R_{3} + C_{1} C_{3} C_{6} R_{2} R_{5} + C_{1} C_{3} C_{6} R_{3} R_{5} + C_{1} C_{4} C_{6} R_{2} R_{5}\right) + s \left(- C_{1} C_{6} R_{2} + C_{1} C_{6} R_{5} + C_{3} C_{6} R_{5}\right)},,nan,[],"[Poly(zoo*s, s, domain='ZZ[zoo]'), Poly(-C_1*C_3*C_4*R_2*R_3*R_5/(C_1*R_2 - C_1*R_5 - C_3*R_5)*s**2 + (C_1*C_3*R_2*R_3 - C_1*C_3*R_2*R_5 - C_1*C_3*R_3*R_5 - C_1*C_4*R_2*R_5)/(C_1*R_2 - C_1*R_5 - C_3*R_5)*s + 1, s, domain='ZZ(C_1,C_3,C_4,R_2,R_3,R_5)')]",0,2
7,True,"(1/(C_1*s), R_2, R_3 + 1/(C_3*s), 1/(C_4*s), R_5, R_6/(C_6*R_6*s + 1))",\frac{C_{3} R_{2} R_{6}}{C_{1} C_{3} C_{4} C_{6} R_{2} R_{3} R_{5} R_{6} s^{3} - C_{1} R_{2} + C_{1} R_{5} + C_{3} R_{5} + s^{2} \left(C_{1} C_{3} C_{4} R_{2} R_{3} R_{5} - C_{1} C_{3} C_{6} R_{2} R_{3} R_{6} + C_{1} C_{3} C_{6} R_{2} R_{5} R_{6} + C_{1} C_{3} C_{6} R_{3} R_{5} R_{6} + C_{1} C_{4} C_{6} R_{2} R_{5} R_{6}\right) + s \left(- C_{1} C_{3} R_{2} R_{3} + C_{1} C_{3} R_{2} R_{5} + C_{1} C_{3} R_{3} R_{5} + C_{1} C_{4} R_{2} R_{5} - C_{1} C_{6} R_{2} R_{6} + C_{1} C_{6} R_{5} R_{6} + C_{3} C_{6} R_{5} R_{6}\right)},C_3*R_2*R_6/(-C_1*R_2 + C_1*R_5 + C_3*R_5),-C_3*R_2*R_6*(C_1*R_2 - C_1*R_5 - C_3*R_5)/(-C_1*R_2 + C_1*R_5 + C_3*R_5),[],"[Poly(C_6*R_6*s + 1, s, domain='ZZ[C_6,R_6]'), Poly(-C_1*C_3*C_4*R_2*R_3*R_5/(C_1*R_2 - C_1*R_5 - C_3*R_5)*s**2 + (C_1*C_3*R_2*R_3 - C_1*C_3*R_2*R_5 - C_1*C_3*R_3*R_5 - C_1*C_4*R_2*R_5)/(C_1*R_2 - C_1*R_5 - C_3*R_5)*s + 1, s, domain='ZZ(C_1,C_3,C_4,R_2,R_3,R_5)')]",0,2
8,False,"(1/(C_1*s), R_2, R_3 + 1/(C_3*s), 1/(C_4*s), R_5 + 1/(C_5*s), 1/(C_6*s))",\frac{C_{3} C_{5} R_{2}}{C_{1} C_{3} C_{4} C_{5} C_{6} R_{2} R_{3} R_{5} s^{3} + C_{1} C_{6} + C_{3} C_{6} + s^{2} \left(C_{1} C_{3} C_{4} C_{6} R_{2} R_{3} - C_{1} C_{3} C_{5} C_{6} R_{2} R_{3} + C_{1} C_{3} C_{5} C_{6} R_{2} R_{5} + C_{1} C_{3} C_{5} C_{6} R_{3} R_{5} + C_{1} C_{4} C_{5} C_{6} R_{2} R_{5}\right) + s \left(C_{1} C_{3} C_{6} R_{2} + C_{1} C_{3} C_{6} R_{3} + C_{1} C_{4} C_{6} R_{2} - C_{1} C_{5} C_{6} R_{2} + C_{1} C_{5} C_{6} R_{5} + C_{3} C_{5} C_{6} R_{5}\right)},,C_3*C_5*R_2*(C_1 + C_3)/(C_1*C_6 + C_3*C_6),[],"[Poly(C_1*C_3*C_4*C_5*R_2*R_3*R_5/(C_1 + C_3)*s**3 + (C_1*C_3*C_4*R_2*R_3 - C_1*C_3*C_5*R_2*R_3 + C_1*C_3*C_5*R_2*R_5 + C_1*C_3*C_5*R_3*R_5 + C_1*C_4*C_5*R_2*R_5)/(C_1 + C_3)*s**2 + (C_1*C_3*R_2 + C_1*C_3*R_3 + C_1*C_4*R_2 - C_1*C_5*R_2 + C_1*C_5*R_5 + C_3*C_5*R_5)/(C_1 + C_3)*s + 1, s, domain='ZZ(C_1,C_3,C_4,C_5,R_2,R_3,R_5)')]",0,1
9,False,"(1/(C_1*s), R_2, R_3 + 1/(C_3*s), R_4/(C_4*R_4*s + 1), R_5, 1/(C_6*s))",\frac{C_{3} R_{2} R_{4}}{C_{1} C_{3} C_{4} C_{6} R_{2} R_{3} R_{4} R_{5} s^{3} + s^{2} \left(- C_{1} C_{3} C_{6} R_{2} R_{3} R_{4} + C_{1} C_{3} C_{6} R_{2} R_{3} R_{5} + C_{1} C_{3} C_{6} R_{2} R_{4} R_{5} + C_{1} C_{3} C_{6} R_{3} R_{4} R_{5} + C_{1} C_{4} C_{6} R_{2} R_{4} R_{5}\right) + s \left(- C_{1} C_{6} R_{2} R_{4} + C_{1} C_{6} R_{2} R_{5} + C_{1} C_{6} R_{4} R_{5} + C_{3} C_{6} R_{4} R_{5}\right)},,nan,[],"[Poly(zoo*s, s, domain='ZZ[zoo]'), Poly(-C_1*C_3*C_4*R_2*R_3*R_4*R_5/(C_1*R_2*R_4 - C_1*R_2*R_5 - C_1*R_4*R_5 - C_3*R_4*R_5)*s**2 + (C_1*C_3*R_2*R_3*R_4 - C_1*C_3*R_2*R_3*R_5 - C_1*C_3*R_2*R_4*R_5 - C_1*C_3*R_3*R_4*R_5 - C_1*C_4*R_2*R_4*R_5)/(C_1*R_2*R_4 - C_1*R_2*R_5 - C_1*R_4*R_5 - C_3*R_4*R_5)*s + 1, s, domain='ZZ(C_1,C_3,C_4,R_2,R_3,R_4,R_5)')]",0,2
10,True,"(1/(C_1*s), R_2, R_3 + 1/(C_3*s), R_4/(C_4*R_4*s + 1), R_5, R_6/(C_6*R_6*s + 1))",\frac{C_{3} R_{2} R_{4} R_{6}}{C_{1} C_{3} C_{4} C_{6} R_{2} R_{3} R_{4} R_{5} R_{6} s^{3} - C_{1} R_{2} R_{4} + C_{1} R_{2} R_{5} + C_{1} R_{4} R_{5} + C_{3} R_{4} R_{5} + s^{2} \left(C_{1} C_{3} C_{4} R_{2} R_{3} R_{4} R_{5} - C_{1} C_{3} C_{6} R_{2} R_{3} R_{4} R_{6} + C_{1} C_{3} C_{6} R_{2} R_{3} R_{5} R_{6} + C_{1} C_{3} C_{6} R_{2} R_{4} R_{5} R_{6} + C_{1} C_{3} C_{6} R_{3} R_{4} R_{5} R_{6} + C_{1} C_{4} C_{6} R_{2} R_{4} R_{5} R_{6}\right) + s \left(- C_{1} C_{3} R_{2} R_{3} R_{4} + C_{1} C_{3} R_{2} R_{3} R_{5} + C_{1} C_{3} R_{2} R_{4} R_{5} + C_{1} C_{3} R_{3} R_{4} R_{5} + C_{1} C_{4} R_{2} R_{4} R_{5} - C_{1} C_{6} R_{2} R_{4} R_{6} + C_{1} C_{6} R_{2} R_{5} R_{6} + C_{1} C_{6} R_{4} R_{5} R_{6} + C_{3} C_{6} R_{4} R_{5} R_{6}\right)},C_3*R_2*R_4*R_6/(-C_1*R_2*R_4 + C_1*R_2*R_5 + C_1*R_4*R_5 + C_3*R_4*R_5),-C_3*R_2*R_4*R_6*(C_1*R_2*R_4 - C_1*R_2*R_5 - C_1*R_4*R_5 - C_3*R_4*R_5)/(-C_1*R_2*R_4 + C_1*R_2*R_5 + C_1*R_4*R_5 + C_3*R_4*R_5),[],"[Poly(C_6*R_6*s + 1, s, domain='ZZ[C_6,R_6]'), Poly(-C_1*C_3*C_4*R_2*R_3*R_4*R_5/(C_1*R_2*R_4 - C_1*R_2*R_5 - C_1*R_4*R_5 - C_3*R_4*R_5)*s**2 + (C_1*C_3*R_2*R_3*R_4 - C_1*C_3*R_2*R_3*R_5 - C_1*C_3*R_2*R_4*R_5 - C_1*C_3*R_3*R_4*R_5 - C_1*C_4*R_2*R_4*R_5)/(C_1*R_2*R_4 - C_1*R_2*R_5 - C_1*R_4*R_5 - C_3*R_4*R_5)*s + 1, s, domain='ZZ(C_1,C_3,C_4,R_2,R_3,R_4,R_5)')]",0,2
