Freq.,V(ideal_out).mag,V(ideal_out).phase,V(lpf_3rd_lt1818).mag,V(lpf_3rd_lt1818).phase
10000,60.79725364,-0.066293058,61.14354226,-0.073605411
10115.79454,60.79725359,-0.067060695,61.1435422,-0.074457721
10232.92992,60.79725353,-0.067837221,61.14354214,-0.075319901
10351.42167,60.79725347,-0.068622739,61.14354208,-0.076192064
10471.28548,60.79725341,-0.069417353,61.14354202,-0.077074326
10592.53725,60.79725335,-0.070221168,61.14354195,-0.077966805
10715.19305,60.79725328,-0.071034291,61.14354189,-0.078869617
10839.26914,60.79725322,-0.071856829,61.14354182,-0.079782884
10964.78196,60.79725315,-0.072688891,61.14354175,-0.080706726
11091.74815,60.79725308,-0.073530589,61.14354168,-0.081641266
11220.18454,60.79725301,-0.074382033,61.14354161,-0.082586627
11350.10816,60.79725294,-0.075243336,61.14354153,-0.083542935
11481.53621,60.79725287,-0.076114613,61.14354146,-0.084510316
11614.48614,60.7972528,-0.076995978,61.14354138,-0.085488899
11748.97555,60.79725272,-0.077887549,61.1435413,-0.086478814
11885.02227,60.79725264,-0.078789444,61.14354122,-0.087480191
12022.64435,60.79725256,-0.079701783,61.14354114,-0.088493164
12161.86001,60.79725248,-0.080624686,61.14354105,-0.089517866
12302.68771,60.7972524,-0.081558275,61.14354096,-0.090554434
12445.14612,60.79725231,-0.082502676,61.14354087,-0.091603005
12589.25412,60.79725222,-0.083458011,61.14354078,-0.092663717
12735.03081,60.79725213,-0.084424409,61.14354069,-0.093736712
12882.49552,60.79725204,-0.085401997,61.14354059,-0.094822132
13031.66778,60.79725195,-0.086390906,61.1435405,-0.09592012
13182.56739,60.79725185,-0.087391265,61.1435404,-0.097030822
13335.21432,60.79725175,-0.088403208,61.14354029,-0.098154386
13489.62883,60.79725165,-0.089426868,61.14354019,-0.09929096
13645.83137,60.79725155,-0.090462382,61.14354008,-0.100440694
13803.84265,60.79725145,-0.091509887,61.14353997,-0.101603742
13963.68361,60.79725134,-0.092569521,61.14353986,-0.102780258
14125.37545,60.79725123,-0.093641425,61.14353974,-0.103970397
14288.93959,60.79725111,-0.094725742,61.14353963,-0.105174317
14454.39771,60.797251,-0.095822614,61.14353951,-0.106392177
14621.77174,60.79725088,-0.096932187,61.14353938,-0.10762414
14791.08388,60.79725076,-0.098054608,61.14353926,-0.108870369
14962.35656,60.79725064,-0.099190027,61.14353913,-0.110131028
15135.61248,60.79725051,-0.100338593,61.143539,-0.111406284
15310.87462,60.79725038,-0.101500458,61.14353886,-0.112696308
15488.16619,60.79725025,-0.102675778,61.14353872,-0.114001269
15667.5107,60.79725011,-0.103864707,61.14353858,-0.115321341
15848.93192,60.79724997,-0.105067403,61.14353844,-0.116656698
16032.45391,60.79724983,-0.106284025,61.14353829,-0.118007519
16218.10097,60.79724969,-0.107514736,61.14353814,-0.119373981
16405.89773,60.79724954,-0.108759697,61.14353798,-0.120756266
16595.86907,60.79724938,-0.110019075,61.14353782,-0.122154556
16788.04018,60.79724923,-0.111293035,61.14353766,-0.123569039
16982.43652,60.79724907,-0.112581747,61.14353749,-0.1249999
17179.08387,60.79724891,-0.113885381,61.14353732,-0.12644733
17378.00829,60.79724874,-0.115204111,61.14353715,-0.12791152
17579.23614,60.79724857,-0.116538111,61.14353697,-0.129392665
17782.7941,60.79724839,-0.117887558,61.14353679,-0.130890961
17988.70915,60.79724822,-0.119252631,61.1435366,-0.132406606
18197.00859,60.79724803,-0.120633511,61.14353641,-0.133939801
18407.72001,60.79724784,-0.12203038,61.14353622,-0.13549075
18620.87137,60.79724765,-0.123443424,61.14353602,-0.137059658
18836.49089,60.79724746,-0.124872831,61.14353581,-0.138646733
19054.60718,60.79724726,-0.126318789,61.1435356,-0.140252185
19275.24913,60.79724705,-0.127781491,61.14353539,-0.141876228
19498.446,60.79724684,-0.12926113,61.14353517,-0.143519076
19724.22736,60.79724663,-0.130757902,61.14353495,-0.145180948
19952.62315,60.79724641,-0.132272006,61.14353472,-0.146862063
20183.66364,60.79724618,-0.133803643,61.14353448,-0.148562644
20417.37945,60.79724595,-0.135353015,61.14353424,-0.150282917
20653.80156,60.79724571,-0.136920328,61.143534,-0.15202311
20892.96131,60.79724547,-0.138505789,61.14353375,-0.153783453
21134.8904,60.79724523,-0.14010961,61.14353349,-0.15556418
