time,V(lpf_3rd_10mhz),V(lpf_3rd_50mhz)
0,-0.001710952,-0.001710952
9.36229E-13,-0.001710952,-0.001710952
1.87246E-12,-0.001710952,-0.001710952
2.80869E-12,-0.001710952,-0.001710952
3.74491E-12,-0.001710952,-0.001710952
4.68114E-12,-0.001710952,-0.001710952
5.61737E-12,-0.001710952,-0.001710952
6.5536E-12,-0.001710952,-0.001710952
1.31072E-11,-0.001710952,-0.001710952
2.31072E-11,-0.001710952,-0.001710952
3.31072E-11,-0.001710952,-0.001710951
4.31072E-11,-0.001710952,-0.00171095
5.31072E-11,-0.001710952,-0.001710948
6.31072E-11,-0.001710951,-0.001710945
7.31072E-11,-0.00171095,-0.001710941
8.31072E-11,-0.001710949,-0.001710935
1.03107E-10,-0.001710946,-0.001710921
1.23107E-10,-0.001710942,-0.001710901
1.53107E-10,-0.001710934,-0.001710858
1.83107E-10,-0.001710922,-0.001710802
2.13107E-10,-0.001710908,-0.001710729
2.43107E-10,-0.00171089,-0.001710639
2.73107E-10,-0.001710868,-0.001710532
3.03107E-10,-0.001710843,-0.001710407
3.33107E-10,-0.001710814,-0.001710263
3.63107E-10,-0.001710782,-0.001710099
3.93107E-10,-0.001710745,-0.001709916
4.23107E-10,-0.001710704,-0.001709714
4.53107E-10,-0.00171066,-0.001709492
4.83107E-10,-0.001710612,-0.001709251
5.13107E-10,-0.00171056,-0.001708992
5.43107E-10,-0.001710504,-0.001708715
5.73107E-10,-0.001710445,-0.001708422
6.03107E-10,-0.001710383,-0.001708113
6.33107E-10,-0.001710319,-0.001707791
6.63107E-10,-0.001710252,-0.001707457
6.93107E-10,-0.001710182,-0.001707113
7.23107E-10,-0.001710112,-0.001706762
7.53107E-10,-0.00171004,-0.001706406
7.83107E-10,-0.001709968,-0.001706049
8.13107E-10,-0.001709896,-0.001705693
8.43107E-10,-0.001709825,-0.001705343
8.73107E-10,-0.001709756,-0.001705002
9.03107E-10,-0.00170969,-0.001704674
9.33107E-10,-0.001709627,-0.001704364
9.63107E-10,-0.001709568,-0.001704077
9.93107E-10,-0.001709515,-0.001703818
1.03596E-09,-0.001709441,-0.001703457
1.07882E-09,-0.001709393,-0.00170323
1.12168E-09,-0.001709372,-0.001703136
1.16454E-09,-0.001709377,-0.001703176
1.20739E-09,-0.001709408,-0.00170335
1.25025E-09,-0.001709466,-0.001703657
1.29311E-09,-0.001709551,-0.001704097
1.34025E-09,-0.001709686,-0.001704797
1.38739E-09,-0.001709896,-0.001705866
1.43454E-09,-0.001710179,-0.001707305
1.48168E-09,-0.001710536,-0.001709113
1.52882E-09,-0.001710966,-0.001711291
1.57596E-09,-0.001711471,-0.001713839
1.62311E-09,-0.001712049,-0.001716756
1.67739E-09,-0.001712832,-0.001720704
1.73168E-09,-0.001713782,-0.001725476
1.78596E-09,-0.001714898,-0.001731075
1.84025E-09,-0.00171618,-0.001737498
1.89454E-09,-0.001717628,-0.001744747
1.94882E-09,-0.001719243,-0.001752822
2.00311E-09,-0.001721025,-0.001761722
2.02311E-09,-0.001721739,-0.001765287
2.03311E-09,-0.001722106,-0.00176712
2.04311E-09,-0.001722481,-0.001768987
2.05311E-09,-0.001722862,-0.001770887
2.07311E-09,-0.001723645,-0.001774791
2.09311E-09,-0.001724457,-0.001778833
2.12311E-09,-0.001725727,-0.001785159
2.17311E-09,-0.001727986,-0.0017964
2.22311E-09,-0.001730432,-0.001808557
2.27311E-09,-0.001733068,-0.001821627
2.32311E-09,-0.001735891,-0.001835613
2.37311E-09,-0.001738903,-0.001850512
2.42311E-09,-0.001742103,-0.001866326
2.47311E-09,-0.001745491,-0.001883055
2.51596E-09,-0.001748555,-0.001898161
2.55882E-09,-0.001751743,-0.001913847
2.60168E-09,-0.001755054,-0.001930111
2.64454E-09,-0.001758489,-0.001946955
2.68739E-09,-0.001762048,-0.001964377
2.73025E-09,-0.001765729,-0.001982379
2.77311E-09,-0.001769535,-0.00200096
2.80311E-09,-0.001772251,-0.002014193
2.83311E-09,-0.001775014,-0.002027637
2.86311E-09,-0.001777822,-0.002041277
2.89311E-09,-0.00178067,-0.002055093
2.92311E-09,-0.001783556,-0.002069068
2.96596E-09,-0.001787772,-0.002089458
3.00882E-09,-0.00179201,-0.002109882
3.05168E-09,-0.00179627,-0.00213034
3.09454E-09,-0.00180055,-0.002150832
3.13739E-09,-0.001804853,-0.002171359
3.18025E-09,-0.001809176,-0.002191919
3.22311E-09,-0.001813521,-0.002212513
3.28596E-09,-0.001819955,-0.002242878
3.34882E-09,-0.001826062,-0.002271394
3.41168E-09,-0.001831844,-0.002298062
3.47454E-09,-0.001837299,-0.00232288
3.53739E-09,-0.001842429,-0.002345851
3.60025E-09,-0.001847233,-0.002366972
3.66311E-09,-0.001851711,-0.002386245
3.69596E-09,-0.00185374,-0.002394657
3.72882E-09,-0.001855547,-0.002401886
3.76168E-09,-0.001857132,-0.002407933
3.79454E-09,-0.001858494,-0.002412797
3.82739E-09,-0.001859634,-0.00241648
3.86025E-09,-0.001860551,-0.00241898
3.89311E-09,-0.001861246,-0.002420298
3.95882E-09,-0.001862084,-0.002419942
4.02454E-09,-0.001861305,-0.002411234
4.09025E-09,-0.001858908,-0.002394176
4.15596E-09,-0.001854894,-0.002368765
4.22168E-09,-0.001849261,-0.002335003
4.28739E-09,-0.001842012,-0.00229289
4.35311E-09,-0.001833144,-0.002242426
4.43454E-09,-0.001819524,-0.002166273
4.51596E-09,-0.001801342,-0.002067238
4.59739E-09,-0.001778599,-0.001945321
4.67882E-09,-0.001751293,-0.001800521
4.76025E-09,-0.001719426,-0.001632838
4.84168E-09,-0.001682997,-0.001442273
4.92311E-09,-0.001642007,-0.001228826
4.99882E-09,-0.001598596,-0.001003973
5.07454E-09,-0.001548997,-0.000748967
5.15025E-09,-0.001493209,-0.000463809
5.22596E-09,-0.001431233,-0.000148499
5.30168E-09,-0.001363068,0.000196964
5.37739E-09,-0.001288714,0.00057258
5.45311E-09,-0.001208172,0.000978348
5.55739E-09,-0.001086174,0.001591558
5.66168E-09,-0.000947276,0.002283826
5.76596E-09,-0.000791478,0.003055151
5.87025E-09,-0.000618779,0.003905533
5.97454E-09,-0.000429179,0.004834973
6.07882E-09,-0.000222678,0.00584347
6.18311E-09,7.22612E-07,0.006931025
6.30882E-09,0.000295754,0.0083627
6.43454E-09,0.000624261,0.009940125
6.56025E-09,0.000986243,0.0116633
6.68596E-09,0.001381701,0.01353223
6.81168E-09,0.001810633,0.0155469
6.93739E-09,0.002273041,0.01770733
7.06311E-09,0.002768924,0.0200135
7.19882E-09,0.003347112,0.02268673
7.33454E-09,0.00397348,0.025545
7.47025E-09,0.004648029,0.02858833
7.60596E-09,0.00537076,0.0318167
7.74168E-09,0.006141672,0.03523013
7.87739E-09,0.006960766,0.0388286
8.01311E-09,0.00782804,0.04261213
8.08739E-09,0.008325756,0.04476098
8.16168E-09,0.00883938,0.04696225
8.23596E-09,0.009368913,0.04921591
8.31025E-09,0.009914356,0.05152199
8.38454E-09,0.01047571,0.05388047
8.45882E-09,0.01105297,0.05629135
8.53311E-09,0.01164614,0.05875465
8.61596E-09,0.01232701,0.06156268
8.69882E-09,0.01302851,0.0644282
8.78168E-09,0.01375065,0.06735118
8.86454E-09,0.01449341,0.07033165
8.94739E-09,0.0152568,0.07336958
9.03025E-09,0.01604083,0.07646499
9.11311E-09,0.01684548,0.07961787
9.23168E-09,0.01803343,0.08422906
9.35025E-09,0.01926474,0.08892756
9.46882E-09,0.02053942,0.09371337
9.58739E-09,0.02185746,0.09858649
9.70596E-09,0.02321886,0.1035469
9.82454E-09,0.02462363,0.1085946
9.94311E-09,0.02607177,0.1137297
1.00631E-08,0.027582,0.1189782
1.0186E-08,0.02917461,0.1244342
1.03088E-08,0.03081396,0.1299257
1.04317E-08,0.03250002,0.1354528
1.05545E-08,0.03423282,0.1410155
1.06774E-08,0.03601234,0.1466137
1.08003E-08,0.03783859,0.1522475
1.09231E-08,0.03971156,0.1579169
1.0966E-08,0.04037581,0.1598904
1.10088E-08,0.04104569,0.1618635
1.10517E-08,0.04172121,0.1638361
1.10945E-08,0.04240236,0.1658083
1.11374E-08,0.04308914,0.16778
1.11803E-08,0.04378155,0.1697513
1.12231E-08,0.0444796,0.1717222
1.13674E-08,0.0468716,0.1783742
1.15117E-08,0.04932626,0.1849586
1.1656E-08,0.0518436,0.1914754
1.18003E-08,0.05442361,0.1979248
1.19445E-08,0.05706629,0.2043065
1.20888E-08,0.05977164,0.2106207
1.22331E-08,0.06253966,0.2168673
1.23117E-08,0.06407264,0.220208
