Freq.,z.Mag,z.phase
10000,-3.883959034,3.577382833
10115.79454,-3.883561272,3.61869588
10232.92992,-3.883154283,3.660483419
10351.42167,-3.882737853,3.702750807
10471.28548,-3.882311765,3.745503461
10592.53725,-3.881875795,3.788746853
10715.19305,-3.881429715,3.832486516
10839.26914,-3.880973292,3.87672804
10964.78196,-3.880506288,3.921477075
11091.74815,-3.880028457,3.966739331
11220.18454,-3.879539551,4.012520578
11350.10816,-3.879039314,4.058826647
11481.53621,-3.878527484,4.105663429
11614.48614,-3.878003795,4.153036879
11748.97555,-3.877467972,4.200953014
11885.02227,-3.876919738,4.249417911
12022.64435,-3.876358805,4.298437714
12161.86001,-3.875784881,4.348018628
12302.68771,-3.875197667,4.398166924
12445.14612,-3.874596857,4.448888938
12589.25412,-3.873982139,4.500191068
12735.03081,-3.873353192,4.552079781
12882.49552,-3.87270969,4.60456161
13031.66778,-3.872051297,4.657643153
13182.56739,-3.871377671,4.711331075
13335.21432,-3.870688463,4.765632111
13489.62883,-3.869983314,4.820553062
13645.83137,-3.869261859,4.876100797
13803.84265,-3.868523723,4.932282255
13963.68361,-3.867768524,4.989104445
14125.37545,-3.866995869,5.046574443
14288.93959,-3.86620536,5.104699399
14454.39771,-3.865396586,5.16348653
14621.77174,-3.864569129,5.222943126
14791.08388,-3.863722561,5.283076547
14962.35656,-3.862856445,5.343894227
15135.61248,-3.861970334,5.405403671
15310.87462,-3.861063769,5.467612454
15488.16619,-3.860136284,5.530528228
15667.5107,-3.8591874,5.594158716
15848.93192,-3.858216628,5.658511714
16032.45391,-3.857223468,5.723595092
16218.10097,-3.85620741,5.789416796
16405.89773,-3.855167931,5.855984844
16595.86907,-3.854104497,5.92330733
16788.04018,-3.853016562,5.991392423
16982.43652,-3.851903567,6.060248366
17179.08387,-3.850764943,6.129883478
17378.00829,-3.849600106,6.200306153
17579.23614,-3.84840846,6.271524863
17782.7941,-3.847189395,6.343548152
17988.70915,-3.845942288,6.416384644
18197.00859,-3.844666504,6.490043036
18407.72001,-3.84336139,6.564532103
18620.87137,-3.842026283,6.639860696
18836.49089,-3.840660501,6.716037742
19054.60718,-3.839263351,6.793072243
19275.24913,-3.837834122,6.87097328
19498.446,-3.836372089,6.949750009
19724.22736,-3.83487651,7.029411661
19952.62315,-3.833346628,7.109967545
20183.66364,-3.831781668,7.191427044
20417.37945,-3.830180839,7.273799619
20653.80156,-3.828543333,7.357094805
20892.96131,-3.826868323,7.441322212
21134.8904,-3.825154965,7.526491526
21379.6209,-3.823402398,7.612612508
21627.18524,-3.821609741,7.699694991
21877.61624,-3.819776092,7.787748885
22130.9471,-3.817900534,7.876784171
22387.21139,-3.815982127,7.966810905
22646.44308,-3.814019911,8.057839212
22908.67653,-3.812012906,8.149879294
23173.9465,-3.809960112,8.242941419
23442.28815,-3.807860507,8.337035929
23713.73706,-3.805713046,8.432173234
