frequency,inoise
1000,1.82546E-11
1023.292992,1.82369E-11
1047.128548,1.82196E-11
1071.519305,1.82027E-11
1096.478196,1.81861E-11
1122.018454,1.81699E-11
1148.153621,1.8154E-11
1174.897555,1.81385E-11
1202.264435,1.81234E-11
1230.268771,1.81085E-11
1258.925412,1.8094E-11
1288.249552,1.80798E-11
1318.256739,1.8066E-11
1348.962883,1.80524E-11
1380.384265,1.80391E-11
1412.537545,1.80261E-11
1445.439771,1.80135E-11
1479.108388,1.8001E-11
1513.561248,1.79889E-11
1548.816619,1.7977E-11
1584.893192,1.79654E-11
1621.810097,1.79541E-11
1659.586907,1.7943E-11
1698.243652,1.79321E-11
1737.800829,1.79215E-11
1778.27941,1.79111E-11
1819.700859,1.7901E-11
1862.087137,1.78911E-11
1905.460718,1.78814E-11
1949.8446,1.78719E-11
1995.262315,1.78626E-11
2041.737945,1.78536E-11
2089.296131,1.78447E-11
2137.96209,1.7836E-11
2187.761624,1.78276E-11
2238.721139,1.78193E-11
2290.867653,1.78112E-11
2344.228815,1.78033E-11
2398.832919,1.77955E-11
2454.708916,1.77879E-11
2511.886432,1.77805E-11
2570.395783,1.77733E-11
2630.267992,1.77662E-11
2691.534804,1.77593E-11
2754.228703,1.77526E-11
2818.382931,1.7746E-11
2884.031503,1.77395E-11
2951.209227,1.77332E-11
3019.95172,1.7727E-11
3090.295433,1.7721E-11
3162.27766,1.77151E-11
3235.936569,1.77093E-11
3311.311215,1.77037E-11
3388.441561,1.76982E-11
3467.368505,1.76928E-11
3548.133892,1.76875E-11
3630.780548,1.76824E-11
3715.352291,1.76773E-11
3801.893963,1.76724E-11
3890.45145,1.76676E-11
3981.071706,1.76629E-11
4073.802778,1.76583E-11
4168.693835,1.76538E-11
4265.795188,1.76494E-11
4365.158322,1.76451E-11
4466.835922,1.76409E-11
4570.881896,1.76368E-11
4677.351413,1.76328E-11
4786.300923,1.76289E-11
4897.788194,1.76251E-11
5011.872336,1.76213E-11
5128.61384,1.76177E-11
5248.074602,1.76141E-11
5370.317964,1.76106E-11
5495.408739,1.76072E-11
5623.413252,1.76038E-11
5754.399373,1.76006E-11
5888.436554,1.75974E-11
6025.595861,1.75943E-11
6165.950019,1.75912E-11
6309.573445,1.75883E-11
6456.54229,1.75853E-11
6606.93448,1.75825E-11
6760.829754,1.75797E-11
6918.309709,1.7577E-11
7079.457844,1.75743E-11
7244.359601,1.75717E-11
7413.102413,1.75692E-11
7585.77575,1.75667E-11
7762.471166,1.75643E-11
7943.282347,1.75619E-11
8128.305162,1.75596E-11
8317.637711,1.75573E-11
8511.380382,1.75551E-11
8709.6359,1.7553E-11
8912.509381,1.75509E-11
9120.108394,1.75488E-11
9332.543008,1.75468E-11
9549.92586,1.75448E-11
9772.37221,1.75429E-11
10000,1.7541E-11
10232.92992,1.75392E-11
10471.28548,1.75374E-11
10715.19305,1.75356E-11
10964.78196,1.75339E-11
11220.18454,1.75322E-11
11481.53621,1.75305E-11
11748.97555,1.75289E-11
12022.64435,1.75274E-11
12302.68771,1.75258E-11
12589.25412,1.75243E-11
12882.49552,1.75229E-11
13182.56739,1.75215E-11
13489.62883,1.75201E-11
13803.84265,1.75187E-11
14125.37545,1.75173E-11
14454.39771,1.7516E-11
14791.08388,1.75148E-11
15135.61248,1.75135E-11
15488.16619,1.75123E-11
15848.93192,1.75111E-11
16218.10097,1.75099E-11
16595.86907,1.75088E-11
16982.43652,1.75077E-11
