Freq.	V(ideal_out)	V(lpf_3rd_lt1818)
1.00000000000000e+04	(6.07972536435696e+01dB,-6.62930580634569e-02°)	(6.11435422636320e+01dB,-7.36054106452382e-02°)
1.01157945425990e+04	(6.07972535870172e+01dB,-6.70606953619128e-02°)	(6.11435422046750e+01dB,-7.44577209744603e-02°)
1.02329299228075e+04	(6.07972535291475e+01dB,-6.78372214766055e-02°)	(6.11435421443447e+01dB,-7.53199005866510e-02°)
1.03514216667934e+04	(6.07972534699298e+01dB,-6.86227393350089e-02°)	(6.11435420826092e+01dB,-7.61920637625237e-02°)
1.04712854805090e+04	(6.07972534093328e+01dB,-6.94173530564352e-02°)	(6.11435420194356e+01dB,-7.70743261061064e-02°)
1.05925372517729e+04	(6.07972533473243e+01dB,-7.02211679658356e-02°)	(6.11435419547906e+01dB,-7.79668045600338e-02°)
1.07151930523761e+04	(6.07972532838714e+01dB,-7.10342906077602e-02°)	(6.11435418886397e+01dB,-7.88696174210764e-02°)
1.08392691402120e+04	(6.07972532189406e+01dB,-7.18568287604803e-02°)	(6.11435418209480e+01dB,-7.97828843558068e-02°)
1.09647819614319e+04	(6.07972531524973e+01dB,-7.26888914502743e-02°)	(6.11435417516796e+01dB,-8.07067264164642e-02°)
1.10917481526240e+04	(6.07972530845063e+01dB,-7.35305889658782e-02°)	(6.11435416807977e+01dB,-8.16412660569978e-02°)
1.12201845430196e+04	(6.07972530149316e+01dB,-7.43820328731041e-02°)	(6.11435416082647e+01dB,-8.25866271492947e-02°)
1.13501081567232e+04	(6.07972529437363e+01dB,-7.52433360296283e-02°)	(6.11435415340423e+01dB,-8.35429349996110e-02°)
1.14815362149688e+04	(6.07972528708827e+01dB,-7.61146125999490e-02°)	(6.11435414580910e+01dB,-8.45103163651615e-02°)
1.16144861384034e+04	(6.07972527963321e+01dB,-7.69959780705195e-02°)	(6.11435413803705e+01dB,-8.54888994709404e-02°)
1.17489755493953e+04	(6.07972527200450e+01dB,-7.78875492650548e-02°)	(6.11435413008397e+01dB,-8.64788140266938e-02°)
1.18850222743702e+04	(6.07972526419809e+01dB,-7.87894443600160e-02°)	(6.11435412194564e+01dB,-8.74801912441514e-02°)
1.20226443461741e+04	(6.07972525620985e+01dB,-7.97017829002745e-02°)	(6.11435411361774e+01dB,-8.84931638543683e-02°)
1.21618600064637e+04	(6.07972524803554e+01dB,-8.06246858149567e-02°)	(6.11435410509587e+01dB,-8.95178661253500e-02°)
1.23026877081238e+04	(6.07972523967082e+01dB,-8.15582754334729e-02°)	(6.11435409637549e+01dB,-9.05544338798376e-02°)
1.24451461177139e+04	(6.07972523111127e+01dB,-8.25026755017313e-02°)	(6.11435408745199e+01dB,-9.16030045133336e-02°)
1.25892541179417e+04	(6.07972522235234e+01dB,-8.34580111985399e-02°)	(6.11435407832063e+01dB,-9.26637170122628e-02°)
