time	V(lpf_3rd_10mhz)	V(lpf_3rd_50mhz)
0.000000000000000e+00	-1.710952e-03	-1.710952e-03
9.362285872156170e-13	-1.710952e-03	-1.710952e-03
1.872457174431234e-12	-1.710952e-03	-1.710952e-03
2.808685761646851e-12	-1.710952e-03	-1.710952e-03
3.744914348862468e-12	-1.710952e-03	-1.710952e-03
4.681142936078085e-12	-1.710952e-03	-1.710952e-03
5.617371523293702e-12	-1.710952e-03	-1.710952e-03
6.553600110509317e-12	-1.710952e-03	-1.710952e-03
1.310720022101863e-11	-1.710952e-03	-1.710952e-03
2.310720022101863e-11	-1.710952e-03	-1.710952e-03
3.310720022101863e-11	-1.710952e-03	-1.710951e-03
4.310720022101863e-11	-1.710952e-03	-1.710950e-03
5.310720022101862e-11	-1.710952e-03	-1.710948e-03
6.310720022101863e-11	-1.710951e-03	-1.710945e-03
7.310720022101863e-11	-1.710950e-03	-1.710941e-03
8.310720022101864e-11	-1.710949e-03	-1.710935e-03
1.031072002210186e-10	-1.710946e-03	-1.710921e-03
1.231072002210186e-10	-1.710942e-03	-1.710901e-03
1.531072002210186e-10	-1.710934e-03	-1.710858e-03
1.831072002210186e-10	-1.710922e-03	-1.710802e-03
2.131072002210186e-10	-1.710908e-03	-1.710729e-03
2.431072002210186e-10	-1.710890e-03	-1.710639e-03
2.731072002210186e-10	-1.710868e-03	-1.710532e-03
3.031072002210187e-10	-1.710843e-03	-1.710407e-03
3.331072002210187e-10	-1.710814e-03	-1.710263e-03
3.631072002210188e-10	-1.710782e-03	-1.710099e-03
3.931072002210188e-10	-1.710745e-03	-1.709916e-03
4.231072002210189e-10	-1.710704e-03	-1.709714e-03
4.531072002210189e-10	-1.710660e-03	-1.709492e-03
4.831072002210189e-10	-1.710612e-03	-1.709251e-03
5.131072002210188e-10	-1.710560e-03	-1.708992e-03
5.431072002210187e-10	-1.710504e-03	-1.708715e-03
5.731072002210186e-10	-1.710445e-03	-1.708422e-03
6.031072002210185e-10	-1.710383e-03	-1.708113e-03
6.331072002210184e-10	-1.710319e-03	-1.707791e-03
6.631072002210182e-10	-1.710252e-03	-1.707457e-03
6.931072002210181e-10	-1.710182e-03	-1.707113e-03
7.231072002210180e-10	-1.710112e-03	-1.706762e-03
7.531072002210179e-10	-1.710040e-03	-1.706406e-03
7.831072002210178e-10	-1.709968e-03	-1.706049e-03
8.131072002210177e-10	-1.709896e-03	-1.705693e-03
8.431072002210176e-10	-1.709825e-03	-1.705343e-03
8.731072002210175e-10	-1.709756e-03	-1.705002e-03
9.031072002210174e-10	-1.709690e-03	-1.704674e-03
9.331072002210173e-10	-1.709627e-03	-1.704364e-03
9.631072002210172e-10	-1.709568e-03	-1.704077e-03
9.931072002210171e-10	-1.709515e-03	-1.703818e-03
1.035964343078160e-09	-1.709441e-03	-1.703457e-03
1.078821485935303e-09	-1.709393e-03	-1.703230e-03
1.121678628792445e-09	-1.709372e-03	-1.703136e-03
1.164535771649588e-09	-1.709377e-03	-1.703176e-03
1.207392914506731e-09	-1.709408e-03	-1.703350e-03
1.250250057363874e-09	-1.709466e-03	-1.703657e-03
1.293107200221016e-09	-1.709551e-03	-1.704097e-03
1.340250057363873e-09	-1.709686e-03	-1.704797e-03
1.387392914506730e-09	-1.709896e-03	-1.705866e-03
1.434535771649587e-09	-1.710179e-03	-1.707305e-03
1.481678628792444e-09	-1.710536e-03	-1.709113e-03
1.528821485935301e-09	-1.710966e-03	-1.711291e-03
1.575964343078158e-09	-1.711471e-03	-1.713839e-03
1.623107200221015e-09	-1.712049e-03	-1.716756e-03
1.677392914506729e-09	-1.712832e-03	-1.720704e-03
1.731678628792444e-09	-1.713782e-03	-1.725476e-03
1.785964343078158e-09	-1.714898e-03	-1.731075e-03
1.840250057363873e-09	-1.716180e-03	-1.737498e-03
1.894535771649587e-09	-1.717628e-03	-1.744747e-03
1.948821485935302e-09	-1.719243e-03	-1.752822e-03
2.003107200221017e-09	-1.721025e-03	-1.761722e-03
2.023107200221017e-09	-1.721739e-03	-1.765287e-03
2.033107200221017e-09	-1.722106e-03	-1.767120e-03
2.043107200221017e-09	-1.722481e-03	-1.768987e-03
2.053107200221017e-09	-1.722862e-03	-1.770887e-03
2.073107200221018e-09	-1.723645e-03	-1.774791e-03
2.093107200221018e-09	-1.724457e-03	-1.778833e-03
2.123107200221019e-09	-1.725727e-03	-1.785159e-03
2.173107200221019e-09	-1.727986e-03	-1.796400e-03
2.223107200221020e-09	-1.730432e-03	-1.808557e-03
2.273107200221021e-09	-1.733068e-03	-1.821627e-03
2.323107200221022e-09	-1.735891e-03	-1.835613e-03
2.373107200221023e-09	-1.738903e-03	-1.850512e-03
2.423107200221024e-09	-1.742103e-03	-1.866326e-03
2.473107200221025e-09	-1.745491e-03	-1.883055e-03
2.515964343078168e-09	-1.748555e-03	-1.898161e-03
2.558821485935312e-09	-1.751743e-03	-1.913847e-03
2.601678628792456e-09	-1.755054e-03	-1.930111e-03
2.644535771649599e-09	-1.758489e-03	-1.946955e-03
2.687392914506743e-09	-1.762048e-03	-1.964377e-03
2.730250057363886e-09	-1.765729e-03	-1.982379e-03
2.773107200221030e-09	-1.769535e-03	-2.000960e-03
2.803107200221030e-09	-1.772251e-03	-2.014193e-03
2.833107200221031e-09	-1.775014e-03	-2.027637e-03
2.863107200221031e-09	-1.777822e-03	-2.041277e-03
2.893107200221032e-09	-1.780670e-03	-2.055093e-03
