time	V(ideal_out)	V(lpf_3rd_lt1818)	I(Iin2)
0.000000000000000e+00	0.000000e+00	-1.710952e-03	0.000000e+00
5.000000000000000e-09	0.000000e+00	-1.710952e-03	0.000000e+00
5.004550842844481e-09	6.668806e-12	-1.710952e-03	4.550843e-06
5.013652528533443e-09	1.030813e-10	-1.710952e-03	1.365253e-05
5.031855899911365e-09	1.866888e-09	-1.710946e-03	3.185590e-05
5.068262642667211e-09	3.253621e-08	-1.710895e-03	6.826264e-05
5.141076128178903e-09	5.012918e-07	-1.710573e-03	1.410761e-04
5.279229830056318e-09	4.888621e-06	-1.709114e-03	2.792298e-04
5.468773069363244e-09	2.601267e-05	-1.705393e-03	4.687731e-04
5.683561582263690e-09	7.910823e-05	-1.699307e-03	6.835616e-04
5.788363082290736e-09	1.207855e-04	-1.695765e-03	7.883631e-04
5.802600505876943e-09	1.289851e-04	-1.695250e-03	8.026005e-04
5.818871847118322e-09	1.391252e-04	-1.694667e-03	8.188718e-04
5.851414529601081e-09	1.616871e-04	-1.693534e-03	8.514145e-04
5.916499894566599e-09	2.148672e-04	-1.691445e-03	9.164999e-04
6.000000000000000e-09	2.930890e-04	-1.689027e-03	1.000000e-03
6.008350010543340e-09	3.025694e-04	-1.688840e-03	1.000000e-03
6.025050031630020e-09	3.222079e-04	-1.688498e-03	1.000000e-03
6.058450073803380e-09	3.649452e-04	-1.688005e-03	1.000000e-03
6.125250158150101e-09	4.658590e-04	-1.688062e-03	1.000000e-03
6.258850326843542e-09	7.389161e-04	-1.694415e-03	1.000000e-03
6.526050664230424e-09	1.531997e-03	-1.733150e-03	1.000000e-03
6.818263374225146e-09	2.814815e-03	-1.825728e-03	1.000000e-03
7.140807688436591e-09	4.839107e-03	-2.004013e-03	1.000000e-03
7.456587564280997e-09	7.543576e-03	-2.254548e-03	1.000000e-03
7.833395378200757e-09	1.178252e-02	-2.598941e-03	1.000000e-03
8.250849025871229e-09	1.777238e-02	-2.879485e-03	1.000000e-03
8.730095129066973e-09	2.629214e-02	-2.777728e-03	1.000000e-03
