Freq.	V(n001)/I(Iin2)
1.00000000000000e+04	(-3.88395903410801e+00dB,3.57738283303655e+00°)
1.01157945425990e+04	(-3.88356127218070e+00dB,3.61869588042116e+00°)
1.02329299228075e+04	(-3.88315428290199e+00dB,3.66048341906953e+00°)
1.03514216667934e+04	(-3.88273785310666e+00dB,3.70275080733758e+00°)
1.04712854805090e+04	(-3.88231176475128e+00dB,3.74550346090195e+00°)
1.05925372517729e+04	(-3.88187579479744e+00dB,3.78874685323370e+00°)
1.07151930523761e+04	(-3.88142971510745e+00dB,3.83248651613572e+00°)
1.08392691402120e+04	(-3.88097329231659e+00dB,3.87672804020614e+00°)
1.09647819614319e+04	(-3.88050628772089e+00dB,3.92147707536519e+00°)
1.10917481526240e+04	(-3.88002845717814e+00dB,3.96673933134419e+00°)
1.12201845430196e+04	(-3.87953955095979e+00dB,4.01252057818465e+00°)
1.13501081567232e+04	(-3.87903931361575e+00dB,4.05882664673196e+00°)
1.14815362149688e+04	(-3.87852748389819e+00dB,4.10566342914243e+00°)
1.16144861384034e+04	(-3.87800379457760e+00dB,4.15303687937227e+00°)
1.17489755493953e+04	(-3.87746797233335e+00dB,4.20095301366635e+00°)
1.18850222743702e+04	(-3.87691973761327e+00dB,4.24941791107146e+00°)
1.20226443461741e+04	(-3.87635880450938e+00dB,4.29843771390580e+00°)
1.21618600064637e+04	(-3.87578488059940e+00dB,4.34801862824626e+00°)
1.23026877081238e+04	(-3.87519766678831e+00dB,4.39816692442433e+00°)
1.24451461177139e+04	(-3.87459685719015e+00dB,4.44888893751413e+00°)
1.25892541179417e+04	(-3.87398213898220e+00dB,4.50019106779043e+00°)
1.27350308101666e+04	(-3.87335319222153e+00dB,4.55207978122763e+00°)
1.28824955169314e+04	(-3.87270968968354e+00dB,4.60456160994034e+00°)
1.30316677845230e+04	(-3.87205129674903e+00dB,4.65764315269580e+00°)
1.31825673855641e+04	(-3.87137767118681e+00dB,4.71133107532810e+00°)
1.33352143216333e+04	(-3.87068846302165e+00dB,4.76563211123154e+00°)
1.34896288259166e+04	(-3.86998331436533e+00dB,4.82055306179593e+00°)
1.36458313658893e+04	(-3.86926185918519e+00dB,4.87610079684597e+00°)
1.38038426460289e+04	(-3.86852372322037e+00dB,4.93228225510558e+00°)
1.39636836105594e+04	(-3.86776852371230e+00dB,4.98910444461129e+00°)
1.41253754462276e+04	(-3.86699586928597e+00dB,5.04657444313715e+00°)
1.42889395851111e+04	(-3.86620535970965e+00dB,5.10469939862125e+00°)
1.44543977074593e+04	(-3.86539658574671e+00dB,5.16348652958393e+00°)
1.46217717445672e+04	(-3.86456912891415e+00dB,5.22294312550893e+00°)
1.47910838816821e+04	(-3.86372256131711e+00dB,5.28307654724748e+00°)
1.49623565609444e+04	(-3.86285644543629e+00dB,5.34389422739609e+00°)
1.51356124843621e+04	(-3.86197033392032e+00dB,5.40540367067475e+00°)
1.53108746168203e+04	(-3.86106376934931e+00dB,5.46761245428849e+00°)
1.54881661891249e+04	(-3.86013628405009e+00dB,5.53052822825888e+00°)
1.56675107010815e+04	(-3.85918739986610e+00dB,5.59415871579744e+00°)
1.58489319246112e+04	(-3.85821662791183e+00dB,5.65851171357974e+00°)
1.60324539069005e+04	(-3.85722346837999e+00dB,5.72359509211253e+00°)
