,impedance_key,zCombo,transferFunc,transferFunc_latex,valid,fType,parameters,filterOrder,denom_order,numer_order
0,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, R_5, R_6)",R_1*R_2*R_4*R_6/(R_1*R_4*R_5 - R_2*R_3*R_4 + R_2*R_3*R_5 + R_2*R_4*R_5 + R_3*R_4*R_5),\frac{R_{1} R_{2} R_{4} R_{6}}{R_{1} R_{4} R_{5} - R_{2} R_{3} R_{4} + R_{2} R_{3} R_{5} + R_{2} R_{4} R_{5} + R_{3} R_{4} R_{5}},False,X-INVALID-ORDER,,BiQuad,0,0
1,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, R_5, 1/(C_6*s))",R_1*R_2*R_4/(s*(C_6*R_1*R_4*R_5 - C_6*R_2*R_3*R_4 + C_6*R_2*R_3*R_5 + C_6*R_2*R_4*R_5 + C_6*R_3*R_4*R_5)),\frac{R_{1} R_{2} R_{4}}{s \left(C_{6} R_{1} R_{4} R_{5} - C_{6} R_{2} R_{3} R_{4} + C_{6} R_{2} R_{3} R_{5} + C_{6} R_{2} R_{4} R_{5} + C_{6} R_{3} R_{4} R_{5}\right)},False,X-INVALID-ORDER,,BiQuad,1,0
2,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, R_5, R_6 + 1/(C_6*s))",(C_6*R_1*R_2*R_4*R_6*s + R_1*R_2*R_4)/(s*(C_6*R_1*R_4*R_5 - C_6*R_2*R_3*R_4 + C_6*R_2*R_3*R_5 + C_6*R_2*R_4*R_5 + C_6*R_3*R_4*R_5)),\frac{C_{6} R_{1} R_{2} R_{4} R_{6} s + R_{1} R_{2} R_{4}}{s \left(C_{6} R_{1} R_{4} R_{5} - C_{6} R_{2} R_{3} R_{4} + C_{6} R_{2} R_{3} R_{5} + C_{6} R_{2} R_{4} R_{5} + C_{6} R_{3} R_{4} R_{5}\right)},False,X-INVALID-ORDER,,BiQuad,1,1
3,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, R_5, R_6/(C_6*R_6*s + 1))",R_1*R_2*R_4*R_6/(R_1*R_4*R_5 - R_2*R_3*R_4 + R_2*R_3*R_5 + R_2*R_4*R_5 + R_3*R_4*R_5 + s*(C_6*R_1*R_4*R_5*R_6 - C_6*R_2*R_3*R_4*R_6 + C_6*R_2*R_3*R_5*R_6 + C_6*R_2*R_4*R_5*R_6 + C_6*R_3*R_4*R_5*R_6)),\frac{R_{1} R_{2} R_{4} R_{6}}{R_{1} R_{4} R_{5} - R_{2} R_{3} R_{4} + R_{2} R_{3} R_{5} + R_{2} R_{4} R_{5} + R_{3} R_{4} R_{5} + s \left(C_{6} R_{1} R_{4} R_{5} R_{6} - C_{6} R_{2} R_{3} R_{4} R_{6} + C_{6} R_{2} R_{3} R_{5} R_{6} + C_{6} R_{2} R_{4} R_{5} R_{6} + C_{6} R_{3} R_{4} R_{5} R_{6}\right)},False,X-INVALID-ORDER,,BiQuad,1,0
4,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, 1/(C_5*s), R_6)",C_5*R_1*R_2*R_4*R_6*s/(-C_5*R_2*R_3*R_4*s + R_1*R_4 + R_2*R_3 + R_2*R_4 + R_3*R_4),\frac{C_{5} R_{1} R_{2} R_{4} R_{6} s}{- C_{5} R_{2} R_{3} R_{4} s + R_{1} R_{4} + R_{2} R_{3} + R_{2} R_{4} + R_{3} R_{4}},False,X-INVALID-ORDER,,BiQuad,1,1
5,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, 1/(C_5*s), 1/(C_6*s))",C_5*R_1*R_2*R_4/(-C_5*C_6*R_2*R_3*R_4*s + C_6*R_1*R_4 + C_6*R_2*R_3 + C_6*R_2*R_4 + C_6*R_3*R_4),\frac{C_{5} R_{1} R_{2} R_{4}}{- C_{5} C_{6} R_{2} R_{3} R_{4} s + C_{6} R_{1} R_{4} + C_{6} R_{2} R_{3} + C_{6} R_{2} R_{4} + C_{6} R_{3} R_{4}},False,X-INVALID-ORDER,,BiQuad,1,0
6,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, 1/(C_5*s), R_6 + 1/(C_6*s))",(C_5*C_6*R_1*R_2*R_4*R_6*s + C_5*R_1*R_2*R_4)/(-C_5*C_6*R_2*R_3*R_4*s + C_6*R_1*R_4 + C_6*R_2*R_3 + C_6*R_2*R_4 + C_6*R_3*R_4),\frac{C_{5} C_{6} R_{1} R_{2} R_{4} R_{6} s + C_{5} R_{1} R_{2} R_{4}}{- C_{5} C_{6} R_{2} R_{3} R_{4} s + C_{6} R_{1} R_{4} + C_{6} R_{2} R_{3} + C_{6} R_{2} R_{4} + C_{6} R_{3} R_{4}},False,X-INVALID-ORDER,,BiQuad,1,1
7,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, 1/(C_5*s), R_6/(C_6*R_6*s + 1))",C_5*R_1*R_2*R_4*R_6*s/(-C_5*C_6*R_2*R_3*R_4*R_6*s**2 + R_1*R_4 + R_2*R_3 + R_2*R_4 + R_3*R_4 + s*(-C_5*R_2*R_3*R_4 + C_6*R_1*R_4*R_6 + C_6*R_2*R_3*R_6 + C_6*R_2*R_4*R_6 + C_6*R_3*R_4*R_6)),\frac{C_{5} R_{1} R_{2} R_{4} R_{6} s}{- C_{5} C_{6} R_{2} R_{3} R_{4} R_{6} s^{2} + R_{1} R_{4} + R_{2} R_{3} + R_{2} R_{4} + R_{3} R_{4} + s \left(- C_{5} R_{2} R_{3} R_{4} + C_{6} R_{1} R_{4} R_{6} + C_{6} R_{2} R_{3} R_{6} + C_{6} R_{2} R_{4} R_{6} + C_{6} R_{3} R_{4} R_{6}\right)},True,BP,"{'Q': I*sqrt(C_5)*sqrt(C_6)*sqrt(R_2)*sqrt(R_3)*sqrt(R_4)*sqrt(R_6)*sqrt(R_1*R_4 + R_2*R_3 + R_2*R_4 + R_3*R_4)/(C_5*R_2*R_3*R_4 - C_6*R_1*R_4*R_6 - C_6*R_2*R_3*R_6 - C_6*R_2*R_4*R_6 - C_6*R_3*R_4*R_6), 'wo': sqrt(-R_1*R_4 - R_2*R_3 - R_2*R_4 - R_3*R_4)/(sqrt(C_5)*sqrt(C_6)*sqrt(R_2)*sqrt(R_3)*sqrt(R_4)*sqrt(R_6)), 'bandwidth': -I*sqrt(-R_1*R_4 - R_2*R_3 - R_2*R_4 - R_3*R_4)*(C_5*R_2*R_3*R_4 - C_6*R_1*R_4*R_6 - C_6*R_2*R_3*R_6 - C_6*R_2*R_4*R_6 - C_6*R_3*R_4*R_6)/(C_5*C_6*R_2*R_3*R_4*R_6*sqrt(R_1*R_4 + R_2*R_3 + R_2*R_4 + R_3*R_4)), 'K_LP': 0, 'K_HP': 0, 'K_BP': -C_5*R_1*R_2*R_4*R_6/(C_5*R_2*R_3*R_4 - C_6*R_1*R_4*R_6 - C_6*R_2*R_3*R_6 - C_6*R_2*R_4*R_6 - C_6*R_3*R_4*R_6), 'Qz': None, 'Wz': None}",BiQuad,2,1
8,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, R_5 + 1/(C_5*s), R_6)",C_5*R_1*R_2*R_4*R_6*s/(R_1*R_4 + R_2*R_3 + R_2*R_4 + R_3*R_4 + s*(C_5*R_1*R_4*R_5 - C_5*R_2*R_3*R_4 + C_5*R_2*R_3*R_5 + C_5*R_2*R_4*R_5 + C_5*R_3*R_4*R_5)),\frac{C_{5} R_{1} R_{2} R_{4} R_{6} s}{R_{1} R_{4} + R_{2} R_{3} + R_{2} R_{4} + R_{3} R_{4} + s \left(C_{5} R_{1} R_{4} R_{5} - C_{5} R_{2} R_{3} R_{4} + C_{5} R_{2} R_{3} R_{5} + C_{5} R_{2} R_{4} R_{5} + C_{5} R_{3} R_{4} R_{5}\right)},False,X-INVALID-ORDER,,BiQuad,1,1
9,Z1_Z2_Z3_Z4_Z5_Z6,"(R_1, R_2, R_3, R_4, R_5 + 1/(C_5*s), 1/(C_6*s))",C_5*R_1*R_2*R_4/(C_6*R_1*R_4 + C_6*R_2*R_3 + C_6*R_2*R_4 + C_6*R_3*R_4 + s*(C_5*C_6*R_1*R_4*R_5 - C_5*C_6*R_2*R_3*R_4 + C_5*C_6*R_2*R_3*R_5 + C_5*C_6*R_2*R_4*R_5 + C_5*C_6*R_3*R_4*R_5)),\frac{C_{5} R_{1} R_{2} R_{4}}{C_{6} R_{1} R_{4} + C_{6} R_{2} R_{3} + C_{6} R_{2} R_{4} + C_{6} R_{3} R_{4} + s \left(C_{5} C_{6} R_{1} R_{4} R_{5} - C_{5} C_{6} R_{2} R_{3} R_{4} + C_{5} C_{6} R_{2} R_{3} R_{5} + C_{5} C_{6} R_{2} R_{4} R_{5} + C_{5} C_{6} R_{3} R_{4} R_{5}\right)},False,X-INVALID-ORDER,,BiQuad,1,0
