,combo,TF,param,type,denom order,numer order,numer facator count,denom factor count,numer factor degrees,denom factor degrees,max denom degree,max numer degree,k,numer factors,denom factors
0,"(R_1, R_2, R_3, R_4, R_5, R_6)",\frac{R_{1} R_{2} R_{4} R_{6}}{R_{1} R_{4} R_{5} - R_{2} R_{3} R_{4} + R_{2} R_{3} R_{5} + R_{2} R_{4} R_{5} + R_{3} R_{4} R_{5}},,X-CONST,0,0,0,0,[],[],-1,-1,R_1*R_2*R_4*R_6/(R_1*R_4*R_5 - R_2*R_3*R_4 + R_2*R_3*R_5 + R_2*R_4*R_5 + R_3*R_4*R_5),[],[]
1,"(R_1, R_2, R_3, R_4, R_5, 1/(C_6*s))",\frac{R_{1} R_{2} R_{4}}{s \left(C_{6} R_{1} R_{4} R_{5} - C_{6} R_{2} R_{3} R_{4} + C_{6} R_{2} R_{3} R_{5} + C_{6} R_{2} R_{4} R_{5} + C_{6} R_{3} R_{4} R_{5}\right)},,X-INVALID-ORDER,1,0,0,1,[],[1],1,-1,R_1*R_2*R_4/(C_6*R_1*R_4*R_5 - C_6*R_2*R_3*R_4 + C_6*R_2*R_3*R_5 + C_6*R_2*R_4*R_5 + C_6*R_3*R_4*R_5),[],"[Poly(s, s, domain='ZZ')]"
2,"(R_1, R_2, R_3, R_4, R_5, R_6 + 1/(C_6*s))",\frac{C_{6} R_{1} R_{2} R_{4} R_{6} s + R_{1} R_{2} R_{4}}{s \left(C_{6} R_{1} R_{4} R_{5} - C_{6} R_{2} R_{3} R_{4} + C_{6} R_{2} R_{3} R_{5} + C_{6} R_{2} R_{4} R_{5} + C_{6} R_{3} R_{4} R_{5}\right)},,X-INVALID-ORDER,1,1,1,1,[1],[1],1,1,R_1*R_2*R_4/(C_6*R_1*R_4*R_5 - C_6*R_2*R_3*R_4 + C_6*R_2*R_3*R_5 + C_6*R_2*R_4*R_5 + C_6*R_3*R_4*R_5),"[Poly(s + 1/(C_6*R_6), s, domain='ZZ(C_6,R_6)')]","[Poly(s, s, domain='ZZ')]"
3,"(R_1, R_2, R_3, R_4, R_5, R_6/(C_6*R_6*s + 1))",\frac{R_{1} R_{2} R_{4} R_{6}}{R_{1} R_{4} R_{5} - R_{2} R_{3} R_{4} + R_{2} R_{3} R_{5} + R_{2} R_{4} R_{5} + R_{3} R_{4} R_{5} + s \left(C_{6} R_{1} R_{4} R_{5} R_{6} - C_{6} R_{2} R_{3} R_{4} R_{6} + C_{6} R_{2} R_{3} R_{5} R_{6} + C_{6} R_{2} R_{4} R_{5} R_{6} + C_{6} R_{3} R_{4} R_{5} R_{6}\right)},,X-INVALID-ORDER,1,0,0,1,[],[1],1,-1,C_6*R_1*R_2*R_4*R_6**2/(C_6*R_1*R_4*R_5*R_6 - C_6*R_2*R_3*R_4*R_6 + C_6*R_2*R_3*R_5*R_6 + C_6*R_2*R_4*R_5*R_6 + C_6*R_3*R_4*R_5*R_6),[],"[Poly(s + 1/(C_6*R_6), s, domain='ZZ(C_6,R_6)')]"
4,"(R_1, R_2, R_3, R_4, 1/(C_5*s), R_6)",\frac{C_{5} R_{1} R_{2} R_{4} R_{6} s}{- C_{5} R_{2} R_{3} R_{4} s + R_{1} R_{4} + R_{2} R_{3} + R_{2} R_{4} + R_{3} R_{4}},,X-INVALID-ORDER,1,1,1,1,[1],[1],1,1,-C_5*R_1*R_2*R_4*R_6,"[Poly(s, s, domain='ZZ')]","[Poly(s + (-R_1*R_4 - R_2*R_3 - R_2*R_4 - R_3*R_4)/(C_5*R_2*R_3*R_4), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4)')]"
5,"(R_1, R_2, R_3, R_4, 1/(C_5*s), 1/(C_6*s))",\frac{C_{5} R_{1} R_{2} R_{4}}{- C_{5} C_{6} R_{2} R_{3} R_{4} s + C_{6} R_{1} R_{4} + C_{6} R_{2} R_{3} + C_{6} R_{2} R_{4} + C_{6} R_{3} R_{4}},,X-INVALID-ORDER,1,0,0,1,[],[1],1,-1,-C_5*R_1*R_2*R_4/C_6,[],"[Poly(s + (-R_1*R_4 - R_2*R_3 - R_2*R_4 - R_3*R_4)/(C_5*R_2*R_3*R_4), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4)')]"
6,"(R_1, R_2, R_3, R_4, 1/(C_5*s), R_6 + 1/(C_6*s))",\frac{C_{5} C_{6} R_{1} R_{2} R_{4} R_{6} s + C_{5} R_{1} R_{2} R_{4}}{- C_{5} C_{6} R_{2} R_{3} R_{4} s + C_{6} R_{1} R_{4} + C_{6} R_{2} R_{3} + C_{6} R_{2} R_{4} + C_{6} R_{3} R_{4}},,X-INVALID-ORDER,1,1,1,1,[1],[1],1,1,-C_5*R_1*R_2*R_4/C_6,"[Poly(s + 1/(C_6*R_6), s, domain='ZZ(C_6,R_6)')]","[Poly(s + (-R_1*R_4 - R_2*R_3 - R_2*R_4 - R_3*R_4)/(C_5*R_2*R_3*R_4), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4)')]"
7,"(R_1, R_2, R_3, R_4, R_5 + 1/(C_5*s), R_6)",\frac{C_{5} R_{1} R_{2} R_{4} R_{6} s}{R_{1} R_{4} + R_{2} R_{3} + R_{2} R_{4} + R_{3} R_{4} + s \left(C_{5} R_{1} R_{4} R_{5} - C_{5} R_{2} R_{3} R_{4} + C_{5} R_{2} R_{3} R_{5} + C_{5} R_{2} R_{4} R_{5} + C_{5} R_{3} R_{4} R_{5}\right)},,X-INVALID-ORDER,1,1,1,1,[1],[1],1,1,C_5**2*R_1*R_2*R_4*R_6*(R_1*R_4*R_5 - R_2*R_3*R_4 + R_2*R_3*R_5 + R_2*R_4*R_5 + R_3*R_4*R_5)/(C_5*R_1*R_4*R_5 - C_5*R_2*R_3*R_4 + C_5*R_2*R_3*R_5 + C_5*R_2*R_4*R_5 + C_5*R_3*R_4*R_5),"[Poly(s, s, domain='ZZ')]","[Poly(s + (R_1*R_4 + R_2*R_3 + R_2*R_4 + R_3*R_4)/(C_5*R_1*R_4*R_5 - C_5*R_2*R_3*R_4 + C_5*R_2*R_3*R_5 + C_5*R_2*R_4*R_5 + C_5*R_3*R_4*R_5), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4,R_5)')]"
8,"(R_1, R_2, R_3, R_4, R_5 + 1/(C_5*s), 1/(C_6*s))",\frac{C_{5} R_{1} R_{2} R_{4}}{C_{6} R_{1} R_{4} + C_{6} R_{2} R_{3} + C_{6} R_{2} R_{4} + C_{6} R_{3} R_{4} + s \left(C_{5} C_{6} R_{1} R_{4} R_{5} - C_{5} C_{6} R_{2} R_{3} R_{4} + C_{5} C_{6} R_{2} R_{3} R_{5} + C_{5} C_{6} R_{2} R_{4} R_{5} + C_{5} C_{6} R_{3} R_{4} R_{5}\right)},,X-INVALID-ORDER,1,0,0,1,[],[1],1,-1,C_5**2*R_1*R_2*R_4*(R_1*R_4*R_5 - R_2*R_3*R_4 + R_2*R_3*R_5 + R_2*R_4*R_5 + R_3*R_4*R_5)/(C_5*C_6*R_1*R_4*R_5 - C_5*C_6*R_2*R_3*R_4 + C_5*C_6*R_2*R_3*R_5 + C_5*C_6*R_2*R_4*R_5 + C_5*C_6*R_3*R_4*R_5),[],"[Poly(s + (R_1*R_4 + R_2*R_3 + R_2*R_4 + R_3*R_4)/(C_5*R_1*R_4*R_5 - C_5*R_2*R_3*R_4 + C_5*R_2*R_3*R_5 + C_5*R_2*R_4*R_5 + C_5*R_3*R_4*R_5), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4,R_5)')]"
9,"(R_1, R_2, R_3, R_4, R_5 + 1/(C_5*s), R_6 + 1/(C_6*s))",\frac{C_{5} C_{6} R_{1} R_{2} R_{4} R_{6} s + C_{5} R_{1} R_{2} R_{4}}{C_{6} R_{1} R_{4} + C_{6} R_{2} R_{3} + C_{6} R_{2} R_{4} + C_{6} R_{3} R_{4} + s \left(C_{5} C_{6} R_{1} R_{4} R_{5} - C_{5} C_{6} R_{2} R_{3} R_{4} + C_{5} C_{6} R_{2} R_{3} R_{5} + C_{5} C_{6} R_{2} R_{4} R_{5} + C_{5} C_{6} R_{3} R_{4} R_{5}\right)},,X-INVALID-ORDER,1,1,1,1,[1],[1],1,1,C_5**2*R_1*R_2*R_4*(R_1*R_4*R_5 - R_2*R_3*R_4 + R_2*R_3*R_5 + R_2*R_4*R_5 + R_3*R_4*R_5)/(C_5*C_6*R_1*R_4*R_5 - C_5*C_6*R_2*R_3*R_4 + C_5*C_6*R_2*R_3*R_5 + C_5*C_6*R_2*R_4*R_5 + C_5*C_6*R_3*R_4*R_5),"[Poly(s + 1/(C_6*R_6), s, domain='ZZ(C_6,R_6)')]","[Poly(s + (R_1*R_4 + R_2*R_3 + R_2*R_4 + R_3*R_4)/(C_5*R_1*R_4*R_5 - C_5*R_2*R_3*R_4 + C_5*R_2*R_3*R_5 + C_5*R_2*R_4*R_5 + C_5*R_3*R_4*R_5), s, domain='ZZ(C_5,R_1,R_2,R_3,R_4,R_5)')]"
