,x_R_L,x_C_L,x_L_1,x_g_m,Q,wo,bandwidth,K_BP
0,200.00000000000003,1e-13,1e-10,0.001,0.07,707106781186.547,10049999999999.998,0.995
1,200.00000000000003,1e-13,1e-10,0.0016681005372000592,0.091,547487100450.294,6044842503189.408,1.654
2,200.00000000000003,1e-13,1e-10,0.0027825594022071257,0.116,423899378615.057,3643813663804.625,2.744
3,200.00000000000003,1e-13,1e-10,0.004641588833612777,0.149,328209893972.735,2204434690031.884,4.536
4,200.00000000000003,1e-13,1e-10,0.007742636826811269,0.189,254121001199.712,1341549665014.884,7.454
5,200.00000000000003,1e-13,1e-10,0.01291549665014884,0.239,196756662235.504,824263682681.127,12.132
6,200.00000000000003,1e-13,1e-10,0.021544346900318832,0.296,152341537894.508,514158883361.278,19.449
7,200.00000000000003,1e-13,1e-10,0.03593813663804626,0.359,117952520155.508,328255940220.713,30.464
8,200.00000000000003,1e-13,1e-10,0.05994842503189409,0.421,91326352637.124,216810053720.006,46.123
9,200.00000000000003,1e-13,1e-10,0.1,0.471,70710678118.655,150000000000.0,66.667
10,200.00000000000003,1e-13,1.2915496650148827e-10,0.001,0.08,622199197476.631,7792636826811.278,1.283
11,200.00000000000003,1e-13,1.2915496650148827e-10,0.0016681005372000592,0.103,481746241999.498,4691588833612.782,2.131
12,200.00000000000003,1e-13,1.2915496650148827e-10,0.0027825594022071257,0.132,372998619448.325,2832559402207.126,3.53
13,200.00000000000003,1e-13,1.2915496650148827e-10,0.004641588833612777,0.168,288799284729.036,1718100537200.061,5.82
14,200.00000000000003,1e-13,1.2915496650148827e-10,0.007742636826811269,0.213,223606797749.979,1050000000000.001,9.524
15,200.00000000000003,1e-13,1.2915496650148827e-10,0.01291549665014884,0.267,173130622698.433,649484250318.942,15.397
16,200.00000000000003,1e-13,1.2915496650148827e-10,0.021544346900318832,0.327,134048753515.365,409381366380.463,24.427
17,200.00000000000003,1e-13,1.2915496650148827e-10,0.03593813663804626,0.391,103789081555.621,265443469003.189,37.673
18,200.00000000000003,1e-13,1.2915496650148827e-10,0.05994842503189409,0.449,80360116507.347,179154966501.489,55.818
19,200.00000000000003,1e-13,1.2915496650148827e-10,0.1,0.488,62219919747.663,127426368268.113,78.477
20,200.00000000000003,1e-13,1.6681005372000558e-10,0.001,0.091,547487100450.295,6044842503189.421,1.654
21,200.00000000000003,1e-13,1.6681005372000558e-10,0.0016681005372000592,0.116,423899378615.057,3643813663804.633,2.744
22,200.00000000000003,1e-13,1.6681005372000558e-10,0.0027825594022071257,0.149,328209893972.736,2204434690031.886,4.536
23,200.00000000000003,1e-13,1.6681005372000558e-10,0.004641588833612777,0.189,254121001199.713,1341549665014.886,7.454
24,200.00000000000003,1e-13,1.6681005372000558e-10,0.007742636826811269,0.239,196756662235.505,824263682681.129,12.132
25,200.00000000000003,1e-13,1.6681005372000558e-10,0.01291549665014884,0.296,152341537894.508,514158883361.279,19.449
