,impedance_key,transferFunc,transferFunc_latex
0,Z1_Z2,Z_1*Z_2*g_m + Z_1,Z_{1} Z_{2} g_{m} + Z_{1}
1,Z1_Z3,Z_1*Z_3*g_m/(Z_1*g_m + 1),\frac{Z_{1} Z_{3} g_{m}}{Z_{1} g_{m} + 1}
2,Z1_Z4,Z_1*Z_4*g_m/(2*Z_1*g_m + 2),\frac{Z_{1} Z_{4} g_{m}}{2 Z_{1} g_{m} + 2}
3,Z1_Z5,(Z_1*Z_5*g_m - Z_1)/(2*Z_1*g_m + 1),\frac{Z_{1} Z_{5} g_{m} - Z_{1}}{2 Z_{1} g_{m} + 1}
4,Z1_ZL,Z_1*Z_L*g_m/(Z_1*g_m + 1),\frac{Z_{1} Z_{L} g_{m}}{Z_{1} g_{m} + 1}
5,Z2_Z3,(Z_2*Z_3*g_m + Z_3)/(Z_2*g_m + 1),\frac{Z_{2} Z_{3} g_{m} + Z_{3}}{Z_{2} g_{m} + 1}
6,Z2_Z4,(Z_2*Z_4*g_m + Z_4)/(2*Z_2*g_m + 2),\frac{Z_{2} Z_{4} g_{m} + Z_{4}}{2 Z_{2} g_{m} + 2}
7,Z2_Z5,(Z_2*Z_5*g_m - Z_2 + Z_5)/(2*Z_2*g_m + 4),\frac{Z_{2} Z_{5} g_{m} - Z_{2} + Z_{5}}{2 Z_{2} g_{m} + 4}
8,Z2_ZL,(Z_2*Z_L*g_m + Z_L)/(Z_2*g_m + 1),\frac{Z_{2} Z_{L} g_{m} + Z_{L}}{Z_{2} g_{m} + 1}
9,Z3_Z4,Z_3*Z_4*g_m/(2*Z_3*g_m + Z_4*g_m),\frac{Z_{3} Z_{4} g_{m}}{2 Z_{3} g_{m} + Z_{4} g_{m}}
10,Z3_Z5,(Z_3*Z_5*g_m - Z_3)/(2*Z_3*g_m + Z_5*g_m + 1),\frac{Z_{3} Z_{5} g_{m} - Z_{3}}{2 Z_{3} g_{m} + Z_{5} g_{m} + 1}
11,Z3_ZL,Z_3*Z_L*g_m/(Z_3*g_m + Z_L*g_m),\frac{Z_{3} Z_{L} g_{m}}{Z_{3} g_{m} + Z_{L} g_{m}}
12,Z4_Z5,(Z_4*Z_5*g_m - Z_4)/(2*Z_4*g_m + 2*Z_5*g_m + 2),\frac{Z_{4} Z_{5} g_{m} - Z_{4}}{2 Z_{4} g_{m} + 2 Z_{5} g_{m} + 2}
13,Z4_ZL,Z_4*Z_L*g_m/(Z_4*g_m + 2*Z_L*g_m),\frac{Z_{4} Z_{L} g_{m}}{Z_{4} g_{m} + 2 Z_{L} g_{m}}
14,Z5_ZL,(Z_5*Z_L*g_m - Z_L)/(Z_5*g_m + 2*Z_L*g_m + 1),\frac{Z_{5} Z_{L} g_{m} - Z_{L}}{Z_{5} g_{m} + 2 Z_{L} g_{m} + 1}
15,Z1_Z2_Z3,(Z_1*Z_2*Z_3*g_m + Z_1*Z_3)/(Z_1*Z_2*g_m + Z_1 + Z_2 + Z_3),\frac{Z_{1} Z_{2} Z_{3} g_{m} + Z_{1} Z_{3}}{Z_{1} Z_{2} g_{m} + Z_{1} + Z_{2} + Z_{3}}
16,Z1_Z2_Z4,(Z_1*Z_2*Z_4*g_m + Z_1*Z_4)/(2*Z_1*Z_2*g_m + 2*Z_1 + 2*Z_2 + Z_4),\frac{Z_{1} Z_{2} Z_{4} g_{m} + Z_{1} Z_{4}}{2 Z_{1} Z_{2} g_{m} + 2 Z_{1} + 2 Z_{2} + Z_{4}}
17,Z1_Z2_Z5,(Z_1*Z_2*Z_5*g_m - Z_1*Z_2 + Z_1*Z_5)/(2*Z_1*Z_2*g_m + 4*Z_1 + Z_2 + Z_5),\frac{Z_{1} Z_{2} Z_{5} g_{m} - Z_{1} Z_{2} + Z_{1} Z_{5}}{2 Z_{1} Z_{2} g_{m} + 4 Z_{1} + Z_{2} + Z_{5}}
18,Z1_Z2_ZL,(Z_1*Z_2*Z_L*g_m + Z_1*Z_L)/(Z_1*Z_2*g_m + Z_1 + Z_2 + Z_L),\frac{Z_{1} Z_{2} Z_{L} g_{m} + Z_{1} Z_{L}}{Z_{1} Z_{2} g_{m} + Z_{1} + Z_{2} + Z_{L}}
19,Z1_Z3_Z4,Z_1*Z_3*Z_4*g_m/(2*Z_1*Z_3*g_m + Z_1*Z_4*g_m + 2*Z_3 + Z_4),\frac{Z_{1} Z_{3} Z_{4} g_{m}}{2 Z_{1} Z_{3} g_{m} + Z_{1} Z_{4} g_{m} + 2 Z_{3} + Z_{4}}
20,Z1_Z3_Z5,(Z_1*Z_3*Z_5*g_m - Z_1*Z_3)/(2*Z_1*Z_3*g_m + Z_1*Z_5*g_m + Z_1 + Z_3 + Z_5),\frac{Z_{1} Z_{3} Z_{5} g_{m} - Z_{1} Z_{3}}{2 Z_{1} Z_{3} g_{m} + Z_{1} Z_{5} g_{m} + Z_{1} + Z_{3} + Z_{5}}
21,Z1_Z3_ZL,Z_1*Z_3*Z_L*g_m/(Z_1*Z_3*g_m + Z_1*Z_L*g_m + Z_3 + Z_L),\frac{Z_{1} Z_{3} Z_{L} g_{m}}{Z_{1} Z_{3} g_{m} + Z_{1} Z_{L} g_{m} + Z_{3} + Z_{L}}
22,Z1_Z4_Z5,(Z_1*Z_4*Z_5*g_m - Z_1*Z_4)/(2*Z_1*Z_4*g_m + 2*Z_1*Z_5*g_m + 2*Z_1 + Z_4 + 2*Z_5),\frac{Z_{1} Z_{4} Z_{5} g_{m} - Z_{1} Z_{4}}{2 Z_{1} Z_{4} g_{m} + 2 Z_{1} Z_{5} g_{m} + 2 Z_{1} + Z_{4} + 2 Z_{5}}
23,Z1_Z4_ZL,Z_1*Z_4*Z_L*g_m/(Z_1*Z_4*g_m + 2*Z_1*Z_L*g_m + Z_4 + 2*Z_L),\frac{Z_{1} Z_{4} Z_{L} g_{m}}{Z_{1} Z_{4} g_{m} + 2 Z_{1} Z_{L} g_{m} + Z_{4} + 2 Z_{L}}
24,Z1_Z5_ZL,(Z_1*Z_5*Z_L*g_m - Z_1*Z_L)/(Z_1*Z_5*g_m + 2*Z_1*Z_L*g_m + Z_1 + Z_5 + Z_L),\frac{Z_{1} Z_{5} Z_{L} g_{m} - Z_{1} Z_{L}}{Z_{1} Z_{5} g_{m} + 2 Z_{1} Z_{L} g_{m} + Z_{1} + Z_{5} + Z_{L}}
25,Z2_Z3_Z4,(Z_2*Z_3*Z_4*g_m + Z_3*Z_4)/(2*Z_2*Z_3*g_m + Z_2*Z_4*g_m + 2*Z_3 + Z_4),\frac{Z_{2} Z_{3} Z_{4} g_{m} + Z_{3} Z_{4}}{2 Z_{2} Z_{3} g_{m} + Z_{2} Z_{4} g_{m} + 2 Z_{3} + Z_{4}}
26,Z2_Z3_Z5,(Z_2*Z_3*Z_5*g_m - Z_2*Z_3 + Z_3*Z_5)/(2*Z_2*Z_3*g_m + Z_2*Z_5*g_m + Z_2 + 4*Z_3 + Z_5),\frac{Z_{2} Z_{3} Z_{5} g_{m} - Z_{2} Z_{3} + Z_{3} Z_{5}}{2 Z_{2} Z_{3} g_{m} + Z_{2} Z_{5} g_{m} + Z_{2} + 4 Z_{3} + Z_{5}}
27,Z2_Z3_ZL,(Z_2*Z_3*Z_L*g_m + Z_3*Z_L)/(Z_2*Z_3*g_m + Z_2*Z_L*g_m + Z_3 + Z_L),\frac{Z_{2} Z_{3} Z_{L} g_{m} + Z_{3} Z_{L}}{Z_{2} Z_{3} g_{m} + Z_{2} Z_{L} g_{m} + Z_{3} + Z_{L}}
28,Z2_Z4_Z5,(Z_2*Z_4*Z_5*g_m - Z_2*Z_4 + Z_4*Z_5)/(2*Z_2*Z_4*g_m + 2*Z_2*Z_5*g_m + 2*Z_2 + 4*Z_4 + 2*Z_5),\frac{Z_{2} Z_{4} Z_{5} g_{m} - Z_{2} Z_{4} + Z_{4} Z_{5}}{2 Z_{2} Z_{4} g_{m} + 2 Z_{2} Z_{5} g_{m} + 2 Z_{2} + 4 Z_{4} + 2 Z_{5}}
29,Z2_Z4_ZL,(Z_2*Z_4*Z_L*g_m + Z_4*Z_L)/(Z_2*Z_4*g_m + 2*Z_2*Z_L*g_m + Z_4 + 2*Z_L),\frac{Z_{2} Z_{4} Z_{L} g_{m} + Z_{4} Z_{L}}{Z_{2} Z_{4} g_{m} + 2 Z_{2} Z_{L} g_{m} + Z_{4} + 2 Z_{L}}
30,Z2_Z5_ZL,(Z_2*Z_5*Z_L*g_m - Z_2*Z_L + Z_5*Z_L)/(Z_2*Z_5*g_m + 2*Z_2*Z_L*g_m + Z_2 + Z_5 + 4*Z_L),\frac{Z_{2} Z_{5} Z_{L} g_{m} - Z_{2} Z_{L} + Z_{5} Z_{L}}{Z_{2} Z_{5} g_{m} + 2 Z_{2} Z_{L} g_{m} + Z_{2} + Z_{5} + 4 Z_{L}}
31,Z3_Z4_Z5,(Z_3*Z_4*Z_5*g_m - Z_3*Z_4)/(2*Z_3*Z_4*g_m + 2*Z_3*Z_5*g_m + 2*Z_3 + Z_4*Z_5*g_m + Z_4),\frac{Z_{3} Z_{4} Z_{5} g_{m} - Z_{3} Z_{4}}{2 Z_{3} Z_{4} g_{m} + 2 Z_{3} Z_{5} g_{m} + 2 Z_{3} + Z_{4} Z_{5} g_{m} + Z_{4}}
32,Z3_Z4_ZL,Z_3*Z_4*Z_L*g_m/(Z_3*Z_4*g_m + 2*Z_3*Z_L*g_m + Z_4*Z_L*g_m),\frac{Z_{3} Z_{4} Z_{L} g_{m}}{Z_{3} Z_{4} g_{m} + 2 Z_{3} Z_{L} g_{m} + Z_{4} Z_{L} g_{m}}
33,Z3_Z5_ZL,(Z_3*Z_5*Z_L*g_m - Z_3*Z_L)/(Z_3*Z_5*g_m + 2*Z_3*Z_L*g_m + Z_3 + Z_5*Z_L*g_m + Z_L),\frac{Z_{3} Z_{5} Z_{L} g_{m} - Z_{3} Z_{L}}{Z_{3} Z_{5} g_{m} + 2 Z_{3} Z_{L} g_{m} + Z_{3} + Z_{5} Z_{L} g_{m} + Z_{L}}
34,Z4_Z5_ZL,(Z_4*Z_5*Z_L*g_m - Z_4*Z_L)/(Z_4*Z_5*g_m + 2*Z_4*Z_L*g_m + Z_4 + 2*Z_5*Z_L*g_m + 2*Z_L),\frac{Z_{4} Z_{5} Z_{L} g_{m} - Z_{4} Z_{L}}{Z_{4} Z_{5} g_{m} + 2 Z_{4} Z_{L} g_{m} + Z_{4} + 2 Z_{5} Z_{L} g_{m} + 2 Z_{L}}
35,Z1_Z2_Z3_Z4,(Z_1*Z_2*Z_3*Z_4*g_m + Z_1*Z_3*Z_4)/(2*Z_1*Z_2*Z_3*g_m + Z_1*Z_2*Z_4*g_m + 2*Z_1*Z_3 + Z_1*Z_4 + 2*Z_2*Z_3 + Z_2*Z_4 + Z_3*Z_4),\frac{Z_{1} Z_{2} Z_{3} Z_{4} g_{m} + Z_{1} Z_{3} Z_{4}}{2 Z_{1} Z_{2} Z_{3} g_{m} + Z_{1} Z_{2} Z_{4} g_{m} + 2 Z_{1} Z_{3} + Z_{1} Z_{4} + 2 Z_{2} Z_{3} + Z_{2} Z_{4} + Z_{3} Z_{4}}
36,Z1_Z2_Z3_Z5,(Z_1*Z_2*Z_3*Z_5*g_m - Z_1*Z_2*Z_3 + Z_1*Z_3*Z_5)/(2*Z_1*Z_2*Z_3*g_m + Z_1*Z_2*Z_5*g_m + Z_1*Z_2 + 4*Z_1*Z_3 + Z_1*Z_5 + Z_2*Z_3 + Z_2*Z_5 + Z_3*Z_5),\frac{Z_{1} Z_{2} Z_{3} Z_{5} g_{m} - Z_{1} Z_{2} Z_{3} + Z_{1} Z_{3} Z_{5}}{2 Z_{1} Z_{2} Z_{3} g_{m} + Z_{1} Z_{2} Z_{5} g_{m} + Z_{1} Z_{2} + 4 Z_{1} Z_{3} + Z_{1} Z_{5} + Z_{2} Z_{3} + Z_{2} Z_{5} + Z_{3} Z_{5}}
