,Expression
Z1,Z_1/(Z_1*g_m + 1)
Z2,oo*sign(1/(Z_2*g_m + 1))
Z3,1/g_m
Z4,1/g_m
Z5,1/(2*g_m)
ZL,1/g_m
Z1_Z2,Z_1
Z1_Z3,Z_1/(Z_1*g_m + 1)
Z1_Z4,2*Z_1/(2*Z_1*g_m + 2)
Z1_Z5,Z_1/(2*Z_1*g_m + 1)
Z1_ZL,Z_1/(Z_1*g_m + 1)
Z2_Z3,(Z_2 + Z_3)/(Z_2*g_m + 1)
Z2_Z4,(2*Z_2 + Z_4)/(2*Z_2*g_m + 2)
Z2_Z5,(Z_2 + Z_5)/(2*Z_2*g_m + 4)
Z2_ZL,(Z_2 + Z_L)/(Z_2*g_m + 1)
Z3_Z4,(2*Z_3 + Z_4)/(2*Z_3*g_m + Z_4*g_m)
Z3_Z5,(Z_3 + Z_5)/(2*Z_3*g_m + Z_5*g_m + 1)
Z3_ZL,(Z_3 + Z_L)/(Z_3*g_m + Z_L*g_m)
Z4_Z5,(Z_4 + 2*Z_5)/(2*Z_4*g_m + 2*Z_5*g_m + 2)
Z4_ZL,(Z_4 + 2*Z_L)/(Z_4*g_m + 2*Z_L*g_m)
Z5_ZL,(Z_5 + Z_L)/(Z_5*g_m + 2*Z_L*g_m + 1)
Z1_Z2_Z3,(Z_1*Z_2 + Z_1*Z_3)/(Z_1*Z_2*g_m + Z_1 + Z_2 + Z_3)
Z1_Z2_Z4,(2*Z_1*Z_2 + Z_1*Z_4)/(2*Z_1*Z_2*g_m + 2*Z_1 + 2*Z_2 + Z_4)
Z1_Z2_Z5,(Z_1*Z_2 + Z_1*Z_5)/(2*Z_1*Z_2*g_m + 4*Z_1 + Z_2 + Z_5)
Z1_Z2_ZL,(Z_1*Z_2 + Z_1*Z_L)/(Z_1*Z_2*g_m + Z_1 + Z_2 + Z_L)
Z1_Z3_Z4,(2*Z_1*Z_3 + Z_1*Z_4)/(2*Z_1*Z_3*g_m + Z_1*Z_4*g_m + 2*Z_3 + Z_4)
Z1_Z3_Z5,(Z_1*Z_3 + Z_1*Z_5)/(2*Z_1*Z_3*g_m + Z_1*Z_5*g_m + Z_1 + Z_3 + Z_5)
Z1_Z3_ZL,(Z_1*Z_3 + Z_1*Z_L)/(Z_1*Z_3*g_m + Z_1*Z_L*g_m + Z_3 + Z_L)
Z1_Z4_Z5,(Z_1*Z_4 + 2*Z_1*Z_5)/(2*Z_1*Z_4*g_m + 2*Z_1*Z_5*g_m + 2*Z_1 + Z_4 + 2*Z_5)
Z1_Z4_ZL,(Z_1*Z_4 + 2*Z_1*Z_L)/(Z_1*Z_4*g_m + 2*Z_1*Z_L*g_m + Z_4 + 2*Z_L)
Z1_Z5_ZL,(Z_1*Z_5 + Z_1*Z_L)/(Z_1*Z_5*g_m + 2*Z_1*Z_L*g_m + Z_1 + Z_5 + Z_L)
Z2_Z3_Z4,(2*Z_2*Z_3 + Z_2*Z_4 + Z_3*Z_4)/(2*Z_2*Z_3*g_m + Z_2*Z_4*g_m + 2*Z_3 + Z_4)
Z2_Z3_Z5,(Z_2*Z_3 + Z_2*Z_5 + Z_3*Z_5)/(2*Z_2*Z_3*g_m + Z_2*Z_5*g_m + Z_2 + 4*Z_3 + Z_5)
Z2_Z3_ZL,(Z_2*Z_3 + Z_2*Z_L + Z_3*Z_L)/(Z_2*Z_3*g_m + Z_2*Z_L*g_m + Z_3 + Z_L)
Z2_Z4_Z5,(Z_2*Z_4 + 2*Z_2*Z_5 + Z_4*Z_5)/(2*Z_2*Z_4*g_m + 2*Z_2*Z_5*g_m + 2*Z_2 + 4*Z_4 + 2*Z_5)
Z2_Z4_ZL,(Z_2*Z_4 + 2*Z_2*Z_L + Z_4*Z_L)/(Z_2*Z_4*g_m + 2*Z_2*Z_L*g_m + Z_4 + 2*Z_L)
Z2_Z5_ZL,(Z_2*Z_5 + Z_2*Z_L + Z_5*Z_L)/(Z_2*Z_5*g_m + 2*Z_2*Z_L*g_m + Z_2 + Z_5 + 4*Z_L)
Z3_Z4_Z5,(Z_3*Z_4 + 2*Z_3*Z_5 + Z_4*Z_5)/(2*Z_3*Z_4*g_m + 2*Z_3*Z_5*g_m + 2*Z_3 + Z_4*Z_5*g_m + Z_4)
Z3_Z4_ZL,(Z_3*Z_4 + 2*Z_3*Z_L + Z_4*Z_L)/(Z_3*Z_4*g_m + 2*Z_3*Z_L*g_m + Z_4*Z_L*g_m)
Z3_Z5_ZL,(Z_3*Z_5 + Z_3*Z_L + Z_5*Z_L)/(Z_3*Z_5*g_m + 2*Z_3*Z_L*g_m + Z_3 + Z_5*Z_L*g_m + Z_L)
Z4_Z5_ZL,(Z_4*Z_5 + Z_4*Z_L + 2*Z_5*Z_L)/(Z_4*Z_5*g_m + 2*Z_4*Z_L*g_m + Z_4 + 2*Z_5*Z_L*g_m + 2*Z_L)
Z1_Z2_Z3_Z4,(2*Z_1*Z_2*Z_3 + Z_1*Z_2*Z_4 + Z_1*Z_3*Z_4)/(2*Z_1*Z_2*Z_3*g_m + Z_1*Z_2*Z_4*g_m + 2*Z_1*Z_3 + Z_1*Z_4 + 2*Z_2*Z_3 + Z_2*Z_4 + Z_3*Z_4)
Z1_Z2_Z3_Z5,(Z_1*Z_2*Z_3 + Z_1*Z_2*Z_5 + Z_1*Z_3*Z_5)/(2*Z_1*Z_2*Z_3*g_m + Z_1*Z_2*Z_5*g_m + Z_1*Z_2 + 4*Z_1*Z_3 + Z_1*Z_5 + Z_2*Z_3 + Z_2*Z_5 + Z_3*Z_5)
Z1_Z2_Z3_ZL,(Z_1*Z_2*Z_3 + Z_1*Z_2*Z_L + Z_1*Z_3*Z_L)/(Z_1*Z_2*Z_3*g_m + Z_1*Z_2*Z_L*g_m + Z_1*Z_3 + Z_1*Z_L + Z_2*Z_3 + Z_2*Z_L + Z_3*Z_L)
Z1_Z2_Z4_Z5,(Z_1*Z_2*Z_4 + 2*Z_1*Z_2*Z_5 + Z_1*Z_4*Z_5)/(2*Z_1*Z_2*Z_4*g_m + 2*Z_1*Z_2*Z_5*g_m + 2*Z_1*Z_2 + 4*Z_1*Z_4 + 2*Z_1*Z_5 + Z_2*Z_4 + 2*Z_2*Z_5 + Z_4*Z_5)
Z1_Z2_Z4_ZL,(Z_1*Z_2*Z_4 + 2*Z_1*Z_2*Z_L + Z_1*Z_4*Z_L)/(Z_1*Z_2*Z_4*g_m + 2*Z_1*Z_2*Z_L*g_m + Z_1*Z_4 + 2*Z_1*Z_L + Z_2*Z_4 + 2*Z_2*Z_L + Z_4*Z_L)
Z1_Z2_Z5_ZL,(Z_1*Z_2*Z_5 + Z_1*Z_2*Z_L + Z_1*Z_5*Z_L)/(Z_1*Z_2*Z_5*g_m + 2*Z_1*Z_2*Z_L*g_m + Z_1*Z_2 + Z_1*Z_5 + 4*Z_1*Z_L + Z_2*Z_5 + Z_2*Z_L + Z_5*Z_L)
Z1_Z3_Z4_Z5,(Z_1*Z_3*Z_4 + 2*Z_1*Z_3*Z_5 + Z_1*Z_4*Z_5)/(2*Z_1*Z_3*Z_4*g_m + 2*Z_1*Z_3*Z_5*g_m + 2*Z_1*Z_3 + Z_1*Z_4*Z_5*g_m + Z_1*Z_4 + Z_3*Z_4 + 2*Z_3*Z_5 + Z_4*Z_5)
Z1_Z3_Z4_ZL,(Z_1*Z_3*Z_4 + 2*Z_1*Z_3*Z_L + Z_1*Z_4*Z_L)/(Z_1*Z_3*Z_4*g_m + 2*Z_1*Z_3*Z_L*g_m + Z_1*Z_4*Z_L*g_m + Z_3*Z_4 + 2*Z_3*Z_L + Z_4*Z_L)
Z1_Z3_Z5_ZL,(Z_1*Z_3*Z_5 + Z_1*Z_3*Z_L + Z_1*Z_5*Z_L)/(Z_1*Z_3*Z_5*g_m + 2*Z_1*Z_3*Z_L*g_m + Z_1*Z_3 + Z_1*Z_5*Z_L*g_m + Z_1*Z_L + Z_3*Z_5 + Z_3*Z_L + Z_5*Z_L)
Z1_Z4_Z5_ZL,(Z_1*Z_4*Z_5 + Z_1*Z_4*Z_L + 2*Z_1*Z_5*Z_L)/(Z_1*Z_4*Z_5*g_m + 2*Z_1*Z_4*Z_L*g_m + Z_1*Z_4 + 2*Z_1*Z_5*Z_L*g_m + 2*Z_1*Z_L + Z_4*Z_5 + Z_4*Z_L + 2*Z_5*Z_L)
Z2_Z3_Z4_Z5,(Z_2*Z_3*Z_4 + 2*Z_2*Z_3*Z_5 + Z_2*Z_4*Z_5 + Z_3*Z_4*Z_5)/(2*Z_2*Z_3*Z_4*g_m + 2*Z_2*Z_3*Z_5*g_m + 2*Z_2*Z_3 + Z_2*Z_4*Z_5*g_m + Z_2*Z_4 + 4*Z_3*Z_4 + 2*Z_3*Z_5 + Z_4*Z_5)
Z2_Z3_Z4_ZL,(Z_2*Z_3*Z_4 + 2*Z_2*Z_3*Z_L + Z_2*Z_4*Z_L + Z_3*Z_4*Z_L)/(Z_2*Z_3*Z_4*g_m + 2*Z_2*Z_3*Z_L*g_m + Z_2*Z_4*Z_L*g_m + Z_3*Z_4 + 2*Z_3*Z_L + Z_4*Z_L)
Z2_Z3_Z5_ZL,(Z_2*Z_3*Z_5 + Z_2*Z_3*Z_L + Z_2*Z_5*Z_L + Z_3*Z_5*Z_L)/(Z_2*Z_3*Z_5*g_m + 2*Z_2*Z_3*Z_L*g_m + Z_2*Z_3 + Z_2*Z_5*Z_L*g_m + Z_2*Z_L + Z_3*Z_5 + 4*Z_3*Z_L + Z_5*Z_L)
Z2_Z4_Z5_ZL,(Z_2*Z_4*Z_5 + Z_2*Z_4*Z_L + 2*Z_2*Z_5*Z_L + Z_4*Z_5*Z_L)/(Z_2*Z_4*Z_5*g_m + 2*Z_2*Z_4*Z_L*g_m + Z_2*Z_4 + 2*Z_2*Z_5*Z_L*g_m + 2*Z_2*Z_L + Z_4*Z_5 + 4*Z_4*Z_L + 2*Z_5*Z_L)
Z3_Z4_Z5_ZL,(Z_3*Z_4*Z_5 + Z_3*Z_4*Z_L + 2*Z_3*Z_5*Z_L + Z_4*Z_5*Z_L)/(Z_3*Z_4*Z_5*g_m + 2*Z_3*Z_4*Z_L*g_m + Z_3*Z_4 + 2*Z_3*Z_5*Z_L*g_m + 2*Z_3*Z_L + Z_4*Z_5*Z_L*g_m + Z_4*Z_L)
Z1_Z2_Z3_Z4_Z5,(Z_1*Z_2*Z_3*Z_4 + 2*Z_1*Z_2*Z_3*Z_5 + Z_1*Z_2*Z_4*Z_5 + Z_1*Z_3*Z_4*Z_5)/(2*Z_1*Z_2*Z_3*Z_4*g_m + 2*Z_1*Z_2*Z_3*Z_5*g_m + 2*Z_1*Z_2*Z_3 + Z_1*Z_2*Z_4*Z_5*g_m + Z_1*Z_2*Z_4 + 4*Z_1*Z_3*Z_4 + 2*Z_1*Z_3*Z_5 + Z_1*Z_4*Z_5 + Z_2*Z_3*Z_4 + 2*Z_2*Z_3*Z_5 + Z_2*Z_4*Z_5 + Z_3*Z_4*Z_5)
Z1_Z2_Z3_Z4_ZL,(Z_1*Z_2*Z_3*Z_4 + 2*Z_1*Z_2*Z_3*Z_L + Z_1*Z_2*Z_4*Z_L + Z_1*Z_3*Z_4*Z_L)/(Z_1*Z_2*Z_3*Z_4*g_m + 2*Z_1*Z_2*Z_3*Z_L*g_m + Z_1*Z_2*Z_4*Z_L*g_m + Z_1*Z_3*Z_4 + 2*Z_1*Z_3*Z_L + Z_1*Z_4*Z_L + Z_2*Z_3*Z_4 + 2*Z_2*Z_3*Z_L + Z_2*Z_4*Z_L + Z_3*Z_4*Z_L)
Z1_Z2_Z3_Z5_ZL,(Z_1*Z_2*Z_3*Z_5 + Z_1*Z_2*Z_3*Z_L + Z_1*Z_2*Z_5*Z_L + Z_1*Z_3*Z_5*Z_L)/(Z_1*Z_2*Z_3*Z_5*g_m + 2*Z_1*Z_2*Z_3*Z_L*g_m + Z_1*Z_2*Z_3 + Z_1*Z_2*Z_5*Z_L*g_m + Z_1*Z_2*Z_L + Z_1*Z_3*Z_5 + 4*Z_1*Z_3*Z_L + Z_1*Z_5*Z_L + Z_2*Z_3*Z_5 + Z_2*Z_3*Z_L + Z_2*Z_5*Z_L + Z_3*Z_5*Z_L)
Z1_Z2_Z4_Z5_ZL,(Z_1*Z_2*Z_4*Z_5 + Z_1*Z_2*Z_4*Z_L + 2*Z_1*Z_2*Z_5*Z_L + Z_1*Z_4*Z_5*Z_L)/(Z_1*Z_2*Z_4*Z_5*g_m + 2*Z_1*Z_2*Z_4*Z_L*g_m + Z_1*Z_2*Z_4 + 2*Z_1*Z_2*Z_5*Z_L*g_m + 2*Z_1*Z_2*Z_L + Z_1*Z_4*Z_5 + 4*Z_1*Z_4*Z_L + 2*Z_1*Z_5*Z_L + Z_2*Z_4*Z_5 + Z_2*Z_4*Z_L + 2*Z_2*Z_5*Z_L + Z_4*Z_5*Z_L)
Z1_Z3_Z4_Z5_ZL,(Z_1*Z_3*Z_4*Z_5 + Z_1*Z_3*Z_4*Z_L + 2*Z_1*Z_3*Z_5*Z_L + Z_1*Z_4*Z_5*Z_L)/(Z_1*Z_3*Z_4*Z_5*g_m + 2*Z_1*Z_3*Z_4*Z_L*g_m + Z_1*Z_3*Z_4 + 2*Z_1*Z_3*Z_5*Z_L*g_m + 2*Z_1*Z_3*Z_L + Z_1*Z_4*Z_5*Z_L*g_m + Z_1*Z_4*Z_L + Z_3*Z_4*Z_5 + Z_3*Z_4*Z_L + 2*Z_3*Z_5*Z_L + Z_4*Z_5*Z_L)
Z2_Z3_Z4_Z5_ZL,(Z_2*Z_3*Z_4*Z_5 + Z_2*Z_3*Z_4*Z_L + 2*Z_2*Z_3*Z_5*Z_L + Z_2*Z_4*Z_5*Z_L + Z_3*Z_4*Z_5*Z_L)/(Z_2*Z_3*Z_4*Z_5*g_m + 2*Z_2*Z_3*Z_4*Z_L*g_m + Z_2*Z_3*Z_4 + 2*Z_2*Z_3*Z_5*Z_L*g_m + 2*Z_2*Z_3*Z_L + Z_2*Z_4*Z_5*Z_L*g_m + Z_2*Z_4*Z_L + Z_3*Z_4*Z_5 + 4*Z_3*Z_4*Z_L + 2*Z_3*Z_5*Z_L + Z_4*Z_5*Z_L)
