,Expression,Modified_Expression,Modified_Expression_LaTeX
Z1,Z_1/(Z_1*g_m + 1),1/(Z_1*(1 + g_m/Z_1)),\frac{1}{Z_{1} \left(1 + \frac{g_{m}}{Z_{1}}\right)}
Z2,oo*sign(1/(Z_2*g_m + 1)),oo*sign(1/(1 + g_m/Z_2)),\infty \operatorname{sign}{\left(\frac{1}{1 + \frac{g_{m}}{Z_{2}}} \right)}
Z3,1/g_m,,
Z4,1/g_m,,
Z5,1/(2*g_m),,
ZL,1/g_m,,
Z1_Z2,Z_1,1/Z_1,\frac{1}{Z_{1}}
Z1_Z3,Z_1/(Z_1*g_m + 1),1/(Z_1*(1 + g_m/Z_1)),\frac{1}{Z_{1} \left(1 + \frac{g_{m}}{Z_{1}}\right)}
Z1_Z4,2*Z_1/(2*Z_1*g_m + 2),2/(Z_1*(2 + 2*g_m/Z_1)),\frac{2}{Z_{1} \left(2 + \frac{2 g_{m}}{Z_{1}}\right)}
Z1_Z5,Z_1/(2*Z_1*g_m + 1),1/(Z_1*(1 + 2*g_m/Z_1)),\frac{1}{Z_{1} \left(1 + \frac{2 g_{m}}{Z_{1}}\right)}
Z1_ZL,Z_1/(Z_1*g_m + 1),1/(Z_1*(1 + g_m/Z_1)),\frac{1}{Z_{1} \left(1 + \frac{g_{m}}{Z_{1}}\right)}
Z2_Z3,(Z_2 + Z_3)/(Z_2*g_m + 1),(1/Z_3 + 1/Z_2)/(1 + g_m/Z_2),\frac{\frac{1}{Z_{3}} + \frac{1}{Z_{2}}}{1 + \frac{g_{m}}{Z_{2}}}
Z2_Z4,(2*Z_2 + Z_4)/(2*Z_2*g_m + 2),(1/Z_4 + 2/Z_2)/(2 + 2*g_m/Z_2),\frac{\frac{1}{Z_{4}} + \frac{2}{Z_{2}}}{2 + \frac{2 g_{m}}{Z_{2}}}
Z2_Z5,(Z_2 + Z_5)/(2*Z_2*g_m + 4),(1/Z_5 + 1/Z_2)/(4 + 2*g_m/Z_2),\frac{\frac{1}{Z_{5}} + \frac{1}{Z_{2}}}{4 + \frac{2 g_{m}}{Z_{2}}}
Z2_ZL,(Z_2 + Z_L)/(Z_2*g_m + 1),(1/Z_L + 1/Z_2)/(1 + g_m/Z_2),\frac{\frac{1}{Z_{L}} + \frac{1}{Z_{2}}}{1 + \frac{g_{m}}{Z_{2}}}
Z3_Z4,(2*Z_3 + Z_4)/(2*Z_3*g_m + Z_4*g_m),(1/Z_4 + 2/Z_3)/(g_m/Z_4 + 2*g_m/Z_3),\frac{\frac{1}{Z_{4}} + \frac{2}{Z_{3}}}{\frac{g_{m}}{Z_{4}} + \frac{2 g_{m}}{Z_{3}}}
Z3_Z5,(Z_3 + Z_5)/(2*Z_3*g_m + Z_5*g_m + 1),(1/Z_5 + 1/Z_3)/(1 + g_m/Z_5 + 2*g_m/Z_3),\frac{\frac{1}{Z_{5}} + \frac{1}{Z_{3}}}{1 + \frac{g_{m}}{Z_{5}} + \frac{2 g_{m}}{Z_{3}}}
Z3_ZL,(Z_3 + Z_L)/(Z_3*g_m + Z_L*g_m),(1/Z_L + 1/Z_3)/(g_m/Z_L + g_m/Z_3),\frac{\frac{1}{Z_{L}} + \frac{1}{Z_{3}}}{\frac{g_{m}}{Z_{L}} + \frac{g_{m}}{Z_{3}}}
Z4_Z5,(Z_4 + 2*Z_5)/(2*Z_4*g_m + 2*Z_5*g_m + 2),(2/Z_5 + 1/Z_4)/(2 + 2*g_m/Z_5 + 2*g_m/Z_4),\frac{\frac{2}{Z_{5}} + \frac{1}{Z_{4}}}{2 + \frac{2 g_{m}}{Z_{5}} + \frac{2 g_{m}}{Z_{4}}}
Z4_ZL,(Z_4 + 2*Z_L)/(Z_4*g_m + 2*Z_L*g_m),(2/Z_L + 1/Z_4)/(2*g_m/Z_L + g_m/Z_4),\frac{\frac{2}{Z_{L}} + \frac{1}{Z_{4}}}{\frac{2 g_{m}}{Z_{L}} + \frac{g_{m}}{Z_{4}}}
Z5_ZL,(Z_5 + Z_L)/(Z_5*g_m + 2*Z_L*g_m + 1),(1/Z_L + 1/Z_5)/(1 + 2*g_m/Z_L + g_m/Z_5),\frac{\frac{1}{Z_{L}} + \frac{1}{Z_{5}}}{1 + \frac{2 g_{m}}{Z_{L}} + \frac{g_{m}}{Z_{5}}}
Z1_Z2_Z3,(Z_1*Z_2 + Z_1*Z_3)/(Z_1*Z_2*g_m + Z_1 + Z_2 + Z_3),(1/(Z_1*Z_3) + 1/(Z_1*Z_2))/(1/Z_3 + 1/Z_2 + 1/Z_1 + g_m/(Z_1*Z_2)),\frac{\frac{1}{Z_{1} Z_{3}} + \frac{1}{Z_{1} Z_{2}}}{\frac{1}{Z_{3}} + \frac{1}{Z_{2}} + \frac{1}{Z_{1}} + \frac{g_{m}}{Z_{1} Z_{2}}}
Z1_Z2_Z4,(2*Z_1*Z_2 + Z_1*Z_4)/(2*Z_1*Z_2*g_m + 2*Z_1 + 2*Z_2 + Z_4),(1/(Z_1*Z_4) + 2/(Z_1*Z_2))/(1/Z_4 + 2/Z_2 + 2/Z_1 + 2*g_m/(Z_1*Z_2)),\frac{\frac{1}{Z_{1} Z_{4}} + \frac{2}{Z_{1} Z_{2}}}{\frac{1}{Z_{4}} + \frac{2}{Z_{2}} + \frac{2}{Z_{1}} + \frac{2 g_{m}}{Z_{1} Z_{2}}}
Z1_Z2_Z5,(Z_1*Z_2 + Z_1*Z_5)/(2*Z_1*Z_2*g_m + 4*Z_1 + Z_2 + Z_5),(1/(Z_1*Z_5) + 1/(Z_1*Z_2))/(1/Z_5 + 1/Z_2 + 4/Z_1 + 2*g_m/(Z_1*Z_2)),\frac{\frac{1}{Z_{1} Z_{5}} + \frac{1}{Z_{1} Z_{2}}}{\frac{1}{Z_{5}} + \frac{1}{Z_{2}} + \frac{4}{Z_{1}} + \frac{2 g_{m}}{Z_{1} Z_{2}}}
Z1_Z2_ZL,(Z_1*Z_2 + Z_1*Z_L)/(Z_1*Z_2*g_m + Z_1 + Z_2 + Z_L),(1/(Z_1*Z_L) + 1/(Z_1*Z_2))/(1/Z_L + 1/Z_2 + 1/Z_1 + g_m/(Z_1*Z_2)),\frac{\frac{1}{Z_{1} Z_{L}} + \frac{1}{Z_{1} Z_{2}}}{\frac{1}{Z_{L}} + \frac{1}{Z_{2}} + \frac{1}{Z_{1}} + \frac{g_{m}}{Z_{1} Z_{2}}}
Z1_Z3_Z4,(2*Z_1*Z_3 + Z_1*Z_4)/(2*Z_1*Z_3*g_m + Z_1*Z_4*g_m + 2*Z_3 + Z_4),(1/(Z_1*Z_4) + 2/(Z_1*Z_3))/(1/Z_4 + 2/Z_3 + g_m/(Z_1*Z_4) + 2*g_m/(Z_1*Z_3)),\frac{\frac{1}{Z_{1} Z_{4}} + \frac{2}{Z_{1} Z_{3}}}{\frac{1}{Z_{4}} + \frac{2}{Z_{3}} + \frac{g_{m}}{Z_{1} Z_{4}} + \frac{2 g_{m}}{Z_{1} Z_{3}}}
Z1_Z3_Z5,(Z_1*Z_3 + Z_1*Z_5)/(2*Z_1*Z_3*g_m + Z_1*Z_5*g_m + Z_1 + Z_3 + Z_5),(1/(Z_1*Z_5) + 1/(Z_1*Z_3))/(1/Z_5 + 1/Z_3 + 1/Z_1 + g_m/(Z_1*Z_5) + 2*g_m/(Z_1*Z_3)),\frac{\frac{1}{Z_{1} Z_{5}} + \frac{1}{Z_{1} Z_{3}}}{\frac{1}{Z_{5}} + \frac{1}{Z_{3}} + \frac{1}{Z_{1}} + \frac{g_{m}}{Z_{1} Z_{5}} + \frac{2 g_{m}}{Z_{1} Z_{3}}}
Z1_Z3_ZL,(Z_1*Z_3 + Z_1*Z_L)/(Z_1*Z_3*g_m + Z_1*Z_L*g_m + Z_3 + Z_L),(1/(Z_1*Z_L) + 1/(Z_1*Z_3))/(1/Z_L + 1/Z_3 + g_m/(Z_1*Z_L) + g_m/(Z_1*Z_3)),\frac{\frac{1}{Z_{1} Z_{L}} + \frac{1}{Z_{1} Z_{3}}}{\frac{1}{Z_{L}} + \frac{1}{Z_{3}} + \frac{g_{m}}{Z_{1} Z_{L}} + \frac{g_{m}}{Z_{1} Z_{3}}}
Z1_Z4_Z5,(Z_1*Z_4 + 2*Z_1*Z_5)/(2*Z_1*Z_4*g_m + 2*Z_1*Z_5*g_m + 2*Z_1 + Z_4 + 2*Z_5),(2/(Z_1*Z_5) + 1/(Z_1*Z_4))/(2/Z_5 + 1/Z_4 + 2/Z_1 + 2*g_m/(Z_1*Z_5) + 2*g_m/(Z_1*Z_4)),\frac{\frac{2}{Z_{1} Z_{5}} + \frac{1}{Z_{1} Z_{4}}}{\frac{2}{Z_{5}} + \frac{1}{Z_{4}} + \frac{2}{Z_{1}} + \frac{2 g_{m}}{Z_{1} Z_{5}} + \frac{2 g_{m}}{Z_{1} Z_{4}}}
Z1_Z4_ZL,(Z_1*Z_4 + 2*Z_1*Z_L)/(Z_1*Z_4*g_m + 2*Z_1*Z_L*g_m + Z_4 + 2*Z_L),(2/(Z_1*Z_L) + 1/(Z_1*Z_4))/(2/Z_L + 1/Z_4 + 2*g_m/(Z_1*Z_L) + g_m/(Z_1*Z_4)),\frac{\frac{2}{Z_{1} Z_{L}} + \frac{1}{Z_{1} Z_{4}}}{\frac{2}{Z_{L}} + \frac{1}{Z_{4}} + \frac{2 g_{m}}{Z_{1} Z_{L}} + \frac{g_{m}}{Z_{1} Z_{4}}}
Z1_Z5_ZL,(Z_1*Z_5 + Z_1*Z_L)/(Z_1*Z_5*g_m + 2*Z_1*Z_L*g_m + Z_1 + Z_5 + Z_L),(1/(Z_1*Z_L) + 1/(Z_1*Z_5))/(1/Z_L + 1/Z_5 + 1/Z_1 + 2*g_m/(Z_1*Z_L) + g_m/(Z_1*Z_5)),\frac{\frac{1}{Z_{1} Z_{L}} + \frac{1}{Z_{1} Z_{5}}}{\frac{1}{Z_{L}} + \frac{1}{Z_{5}} + \frac{1}{Z_{1}} + \frac{2 g_{m}}{Z_{1} Z_{L}} + \frac{g_{m}}{Z_{1} Z_{5}}}
Z2_Z3_Z4,(2*Z_2*Z_3 + Z_2*Z_4 + Z_3*Z_4)/(2*Z_2*Z_3*g_m + Z_2*Z_4*g_m + 2*Z_3 + Z_4),(1/(Z_3*Z_4) + 1/(Z_2*Z_4) + 2/(Z_2*Z_3))/(1/Z_4 + 2/Z_3 + g_m/(Z_2*Z_4) + 2*g_m/(Z_2*Z_3)),\frac{\frac{1}{Z_{3} Z_{4}} + \frac{1}{Z_{2} Z_{4}} + \frac{2}{Z_{2} Z_{3}}}{\frac{1}{Z_{4}} + \frac{2}{Z_{3}} + \frac{g_{m}}{Z_{2} Z_{4}} + \frac{2 g_{m}}{Z_{2} Z_{3}}}
Z2_Z3_Z5,(Z_2*Z_3 + Z_2*Z_5 + Z_3*Z_5)/(2*Z_2*Z_3*g_m + Z_2*Z_5*g_m + Z_2 + 4*Z_3 + Z_5),(1/(Z_3*Z_5) + 1/(Z_2*Z_5) + 1/(Z_2*Z_3))/(1/Z_5 + 4/Z_3 + 1/Z_2 + g_m/(Z_2*Z_5) + 2*g_m/(Z_2*Z_3)),\frac{\frac{1}{Z_{3} Z_{5}} + \frac{1}{Z_{2} Z_{5}} + \frac{1}{Z_{2} Z_{3}}}{\frac{1}{Z_{5}} + \frac{4}{Z_{3}} + \frac{1}{Z_{2}} + \frac{g_{m}}{Z_{2} Z_{5}} + \frac{2 g_{m}}{Z_{2} Z_{3}}}
Z2_Z3_ZL,(Z_2*Z_3 + Z_2*Z_L + Z_3*Z_L)/(Z_2*Z_3*g_m + Z_2*Z_L*g_m + Z_3 + Z_L),(1/(Z_3*Z_L) + 1/(Z_2*Z_L) + 1/(Z_2*Z_3))/(1/Z_L + 1/Z_3 + g_m/(Z_2*Z_L) + g_m/(Z_2*Z_3)),\frac{\frac{1}{Z_{3} Z_{L}} + \frac{1}{Z_{2} Z_{L}} + \frac{1}{Z_{2} Z_{3}}}{\frac{1}{Z_{L}} + \frac{1}{Z_{3}} + \frac{g_{m}}{Z_{2} Z_{L}} + \frac{g_{m}}{Z_{2} Z_{3}}}
Z2_Z4_Z5,(Z_2*Z_4 + 2*Z_2*Z_5 + Z_4*Z_5)/(2*Z_2*Z_4*g_m + 2*Z_2*Z_5*g_m + 2*Z_2 + 4*Z_4 + 2*Z_5),(1/(Z_4*Z_5) + 2/(Z_2*Z_5) + 1/(Z_2*Z_4))/(2/Z_5 + 4/Z_4 + 2/Z_2 + 2*g_m/(Z_2*Z_5) + 2*g_m/(Z_2*Z_4)),\frac{\frac{1}{Z_{4} Z_{5}} + \frac{2}{Z_{2} Z_{5}} + \frac{1}{Z_{2} Z_{4}}}{\frac{2}{Z_{5}} + \frac{4}{Z_{4}} + \frac{2}{Z_{2}} + \frac{2 g_{m}}{Z_{2} Z_{5}} + \frac{2 g_{m}}{Z_{2} Z_{4}}}
Z2_Z4_ZL,(Z_2*Z_4 + 2*Z_2*Z_L + Z_4*Z_L)/(Z_2*Z_4*g_m + 2*Z_2*Z_L*g_m + Z_4 + 2*Z_L),(1/(Z_4*Z_L) + 2/(Z_2*Z_L) + 1/(Z_2*Z_4))/(2/Z_L + 1/Z_4 + 2*g_m/(Z_2*Z_L) + g_m/(Z_2*Z_4)),\frac{\frac{1}{Z_{4} Z_{L}} + \frac{2}{Z_{2} Z_{L}} + \frac{1}{Z_{2} Z_{4}}}{\frac{2}{Z_{L}} + \frac{1}{Z_{4}} + \frac{2 g_{m}}{Z_{2} Z_{L}} + \frac{g_{m}}{Z_{2} Z_{4}}}
Z2_Z5_ZL,(Z_2*Z_5 + Z_2*Z_L + Z_5*Z_L)/(Z_2*Z_5*g_m + 2*Z_2*Z_L*g_m + Z_2 + Z_5 + 4*Z_L),(1/(Z_5*Z_L) + 1/(Z_2*Z_L) + 1/(Z_2*Z_5))/(4/Z_L + 1/Z_5 + 1/Z_2 + 2*g_m/(Z_2*Z_L) + g_m/(Z_2*Z_5)),\frac{\frac{1}{Z_{5} Z_{L}} + \frac{1}{Z_{2} Z_{L}} + \frac{1}{Z_{2} Z_{5}}}{\frac{4}{Z_{L}} + \frac{1}{Z_{5}} + \frac{1}{Z_{2}} + \frac{2 g_{m}}{Z_{2} Z_{L}} + \frac{g_{m}}{Z_{2} Z_{5}}}
Z3_Z4_Z5,(Z_3*Z_4 + 2*Z_3*Z_5 + Z_4*Z_5)/(2*Z_3*Z_4*g_m + 2*Z_3*Z_5*g_m + 2*Z_3 + Z_4*Z_5*g_m + Z_4),(1/(Z_4*Z_5) + 2/(Z_3*Z_5) + 1/(Z_3*Z_4))/(1/Z_4 + g_m/(Z_4*Z_5) + 2/Z_3 + 2*g_m/(Z_3*Z_5) + 2*g_m/(Z_3*Z_4)),\frac{\frac{1}{Z_{4} Z_{5}} + \frac{2}{Z_{3} Z_{5}} + \frac{1}{Z_{3} Z_{4}}}{\frac{1}{Z_{4}} + \frac{g_{m}}{Z_{4} Z_{5}} + \frac{2}{Z_{3}} + \frac{2 g_{m}}{Z_{3} Z_{5}} + \frac{2 g_{m}}{Z_{3} Z_{4}}}
Z3_Z4_ZL,(Z_3*Z_4 + 2*Z_3*Z_L + Z_4*Z_L)/(Z_3*Z_4*g_m + 2*Z_3*Z_L*g_m + Z_4*Z_L*g_m),(1/(Z_4*Z_L) + 2/(Z_3*Z_L) + 1/(Z_3*Z_4))/(g_m/(Z_4*Z_L) + 2*g_m/(Z_3*Z_L) + g_m/(Z_3*Z_4)),\frac{\frac{1}{Z_{4} Z_{L}} + \frac{2}{Z_{3} Z_{L}} + \frac{1}{Z_{3} Z_{4}}}{\frac{g_{m}}{Z_{4} Z_{L}} + \frac{2 g_{m}}{Z_{3} Z_{L}} + \frac{g_{m}}{Z_{3} Z_{4}}}
Z3_Z5_ZL,(Z_3*Z_5 + Z_3*Z_L + Z_5*Z_L)/(Z_3*Z_5*g_m + 2*Z_3*Z_L*g_m + Z_3 + Z_5*Z_L*g_m + Z_L),(1/(Z_5*Z_L) + 1/(Z_3*Z_L) + 1/(Z_3*Z_5))/(1/Z_L + g_m/(Z_5*Z_L) + 1/Z_3 + 2*g_m/(Z_3*Z_L) + g_m/(Z_3*Z_5)),\frac{\frac{1}{Z_{5} Z_{L}} + \frac{1}{Z_{3} Z_{L}} + \frac{1}{Z_{3} Z_{5}}}{\frac{1}{Z_{L}} + \frac{g_{m}}{Z_{5} Z_{L}} + \frac{1}{Z_{3}} + \frac{2 g_{m}}{Z_{3} Z_{L}} + \frac{g_{m}}{Z_{3} Z_{5}}}
Z4_Z5_ZL,(Z_4*Z_5 + Z_4*Z_L + 2*Z_5*Z_L)/(Z_4*Z_5*g_m + 2*Z_4*Z_L*g_m + Z_4 + 2*Z_5*Z_L*g_m + 2*Z_L),(2/(Z_5*Z_L) + 1/(Z_4*Z_L) + 1/(Z_4*Z_5))/(2/Z_L + 2*g_m/(Z_5*Z_L) + 1/Z_4 + 2*g_m/(Z_4*Z_L) + g_m/(Z_4*Z_5)),\frac{\frac{2}{Z_{5} Z_{L}} + \frac{1}{Z_{4} Z_{L}} + \frac{1}{Z_{4} Z_{5}}}{\frac{2}{Z_{L}} + \frac{2 g_{m}}{Z_{5} Z_{L}} + \frac{1}{Z_{4}} + \frac{2 g_{m}}{Z_{4} Z_{L}} + \frac{g_{m}}{Z_{4} Z_{5}}}
Z1_Z2_Z3_Z4,(2*Z_1*Z_2*Z_3 + Z_1*Z_2*Z_4 + Z_1*Z_3*Z_4)/(2*Z_1*Z_2*Z_3*g_m + Z_1*Z_2*Z_4*g_m + 2*Z_1*Z_3 + Z_1*Z_4 + 2*Z_2*Z_3 + Z_2*Z_4 + Z_3*Z_4),(1/(Z_1*Z_3*Z_4) + 1/(Z_1*Z_2*Z_4) + 2/(Z_1*Z_2*Z_3))/(1/(Z_3*Z_4) + 1/(Z_2*Z_4) + 2/(Z_2*Z_3) + 1/(Z_1*Z_4) + 2/(Z_1*Z_3) + g_m/(Z_1*Z_2*Z_4) + 2*g_m/(Z_1*Z_2*Z_3)),\frac{\frac{1}{Z_{1} Z_{3} Z_{4}} + \frac{1}{Z_{1} Z_{2} Z_{4}} + \frac{2}{Z_{1} Z_{2} Z_{3}}}{\frac{1}{Z_{3} Z_{4}} + \frac{1}{Z_{2} Z_{4}} + \frac{2}{Z_{2} Z_{3}} + \frac{1}{Z_{1} Z_{4}} + \frac{2}{Z_{1} Z_{3}} + \frac{g_{m}}{Z_{1} Z_{2} Z_{4}} + \frac{2 g_{m}}{Z_{1} Z_{2} Z_{3}}}
Z1_Z2_Z3_Z5,(Z_1*Z_2*Z_3 + Z_1*Z_2*Z_5 + Z_1*Z_3*Z_5)/(2*Z_1*Z_2*Z_3*g_m + Z_1*Z_2*Z_5*g_m + Z_1*Z_2 + 4*Z_1*Z_3 + Z_1*Z_5 + Z_2*Z_3 + Z_2*Z_5 + Z_3*Z_5),(1/(Z_1*Z_3*Z_5) + 1/(Z_1*Z_2*Z_5) + 1/(Z_1*Z_2*Z_3))/(1/(Z_3*Z_5) + 1/(Z_2*Z_5) + 1/(Z_2*Z_3) + 1/(Z_1*Z_5) + 4/(Z_1*Z_3) + 1/(Z_1*Z_2) + g_m/(Z_1*Z_2*Z_5) + 2*g_m/(Z_1*Z_2*Z_3)),\frac{\frac{1}{Z_{1} Z_{3} Z_{5}} + \frac{1}{Z_{1} Z_{2} Z_{5}} + \frac{1}{Z_{1} Z_{2} Z_{3}}}{\frac{1}{Z_{3} Z_{5}} + \frac{1}{Z_{2} Z_{5}} + \frac{1}{Z_{2} Z_{3}} + \frac{1}{Z_{1} Z_{5}} + \frac{4}{Z_{1} Z_{3}} + \frac{1}{Z_{1} Z_{2}} + \frac{g_{m}}{Z_{1} Z_{2} Z_{5}} + \frac{2 g_{m}}{Z_{1} Z_{2} Z_{3}}}
Z1_Z2_Z3_ZL,(Z_1*Z_2*Z_3 + Z_1*Z_2*Z_L + Z_1*Z_3*Z_L)/(Z_1*Z_2*Z_3*g_m + Z_1*Z_2*Z_L*g_m + Z_1*Z_3 + Z_1*Z_L + Z_2*Z_3 + Z_2*Z_L + Z_3*Z_L),(1/(Z_1*Z_3*Z_L) + 1/(Z_1*Z_2*Z_L) + 1/(Z_1*Z_2*Z_3))/(1/(Z_3*Z_L) + 1/(Z_2*Z_L) + 1/(Z_2*Z_3) + 1/(Z_1*Z_L) + 1/(Z_1*Z_3) + g_m/(Z_1*Z_2*Z_L) + g_m/(Z_1*Z_2*Z_3)),\frac{\frac{1}{Z_{1} Z_{3} Z_{L}} + \frac{1}{Z_{1} Z_{2} Z_{L}} + \frac{1}{Z_{1} Z_{2} Z_{3}}}{\frac{1}{Z_{3} Z_{L}} + \frac{1}{Z_{2} Z_{L}} + \frac{1}{Z_{2} Z_{3}} + \frac{1}{Z_{1} Z_{L}} + \frac{1}{Z_{1} Z_{3}} + \frac{g_{m}}{Z_{1} Z_{2} Z_{L}} + \frac{g_{m}}{Z_{1} Z_{2} Z_{3}}}
Z1_Z2_Z4_Z5,(Z_1*Z_2*Z_4 + 2*Z_1*Z_2*Z_5 + Z_1*Z_4*Z_5)/(2*Z_1*Z_2*Z_4*g_m + 2*Z_1*Z_2*Z_5*g_m + 2*Z_1*Z_2 + 4*Z_1*Z_4 + 2*Z_1*Z_5 + Z_2*Z_4 + 2*Z_2*Z_5 + Z_4*Z_5),(1/(Z_1*Z_4*Z_5) + 2/(Z_1*Z_2*Z_5) + 1/(Z_1*Z_2*Z_4))/(1/(Z_4*Z_5) + 2/(Z_2*Z_5) + 1/(Z_2*Z_4) + 2/(Z_1*Z_5) + 4/(Z_1*Z_4) + 2/(Z_1*Z_2) + 2*g_m/(Z_1*Z_2*Z_5) + 2*g_m/(Z_1*Z_2*Z_4)),\frac{\frac{1}{Z_{1} Z_{4} Z_{5}} + \frac{2}{Z_{1} Z_{2} Z_{5}} + \frac{1}{Z_{1} Z_{2} Z_{4}}}{\frac{1}{Z_{4} Z_{5}} + \frac{2}{Z_{2} Z_{5}} + \frac{1}{Z_{2} Z_{4}} + \frac{2}{Z_{1} Z_{5}} + \frac{4}{Z_{1} Z_{4}} + \frac{2}{Z_{1} Z_{2}} + \frac{2 g_{m}}{Z_{1} Z_{2} Z_{5}} + \frac{2 g_{m}}{Z_{1} Z_{2} Z_{4}}}
